model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,26.293485,7.993794,1.435878,3.836815,7.421658,7.707875,7.705978,8.423728,31.390526,35.510817,35.445251,35.447045
bert_base,10.513676,7.876077,0.926927,18.340077,18.508273,18.514654,18.378791,18.616765,18.517637,18.670453,18.464119,18.711643
bert_large,3.365552,4.346445,0.809112,7.892337,7.944564,7.868246,7.248317,8.072383,7.919397,8.107611,8.072981,8.123445
