model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,345.227303,86.886597,81.628939,85.952976,89.197180,91.267217,89.790194,88.388159,92.016111,94.047875,93.629942,95.401970
bert_base,236.641886,122.653439,112.628780,121.895961,122.625219,126.082162,121.747856,132.755179,132.275281,134.189940,121.091480,136.073815
bert_large,93.565183,43.263296,39.438956,40.686187,41.257839,42.306224,42.885714,44.578308,44.725971,44.322873,46.427736,47.502251
