model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,29.727674,34.652884,35.478841,36.586392,37.466133,38.253858,40.617863,40.151812,42.335557,41.907050,43.272930,42.532359
bert_base,11.261244,20.081557,19.604000,21.283863,23.322782,24.367908,25.095141,26.088761,26.222485,26.567576,26.656799,27.627784
bert_large,3.553958,6.731992,7.202769,8.200894,8.614968,8.801668,9.025116,9.117717,9.170494,9.195776,9.209953,9.201401
