model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,288.423146,66.524081,63.061287,63.775752,64.404232,64.938840,66.760228,66.217522,66.732563,67.293470,66.524841,69.619242
bert_base,200.334505,85.779334,75.562383,76.888757,80.593808,83.916604,82.824284,87.364766,89.469138,90.716133,93.959633,97.071137
bert_large,85.897176,37.616152,28.447517,29.830695,30.542946,32.210781,33.374447,34.365222,35.871037,36.793749,38.066483,38.222086
