name,b1fps_int8_22WW51.1,b1fps_fp16_22WW51.1,b1fps_fp32_22WW51.1,b16fps_int8_22WW51.1,b16fps_fp16_22WW51.1,b16fps_fp32_22WW51.1,b32fps_int8_22WW51.1,b32fps_fp16_22WW51.1,b32fps_fp32_22WW51.1,b1fps_cldnn_int8_22WW51.1,b1fps_cldnn_fp16_22WW51.1,b1fps_cldnn_fp32_22WW51.1,b16fps_cldnn_int8_22WW51.1,b16fps_cldnn_fp16_22WW51.1,b16fps_cldnn_fp32_22WW51.1,b32fps_cldnn_int8_22WW51.1,b32fps_cldnn_fp16_22WW51.1,b32fps_cldnn_fp32_22WW51.1,b1fps_int8_23WW01.4,b1fps_fp16_23WW01.4,b1fps_fp32_23WW01.4,b16fps_int8_23WW01.4,b16fps_fp16_23WW01.4,b16fps_fp32_23WW01.4,b32fps_int8_23WW01.4,b32fps_fp16_23WW01.4,b32fps_fp32_23WW01.4,b1fps_cldnn_int8_23WW01.4,b1fps_cldnn_fp16_23WW01.4,b1fps_cldnn_fp32_23WW01.4,b16fps_cldnn_int8_23WW01.4,b16fps_cldnn_fp16_23WW01.4,b16fps_cldnn_fp32_23WW01.4,b32fps_cldnn_int8_23WW01.4,b32fps_cldnn_fp16_23WW01.4,b32fps_cldnn_fp32_23WW01.4,b1fps_int8_23WW03.4,b1fps_fp16_23WW03.4,b1fps_fp32_23WW03.4,b16fps_int8_23WW03.4,b16fps_fp16_23WW03.4,b16fps_fp32_23WW03.4,b32fps_int8_23WW03.4,b32fps_fp16_23WW03.4,b32fps_fp32_23WW03.4,b1fps_cldnn_int8_23WW03.4,b1fps_cldnn_fp16_23WW03.4,b1fps_cldnn_fp32_23WW03.4,b16fps_cldnn_int8_23WW03.4,b16fps_cldnn_fp16_23WW03.4,b16fps_cldnn_fp32_23WW03.4,b32fps_cldnn_int8_23WW03.4,b32fps_cldnn_fp16_23WW03.4,b32fps_cldnn_fp32_23WW03.4,b1fps_int8_23WW06.1,b1fps_fp16_23WW06.1,b1fps_fp32_23WW06.1,b16fps_int8_23WW06.1,b16fps_fp16_23WW06.1,b16fps_fp32_23WW06.1,b32fps_int8_23WW06.1,b32fps_fp16_23WW06.1,b32fps_fp32_23WW06.1,b1fps_cldnn_int8_23WW06.1,b1fps_cldnn_fp16_23WW06.1,b1fps_cldnn_fp32_23WW06.1,b16fps_cldnn_int8_23WW06.1,b16fps_cldnn_fp16_23WW06.1,b16fps_cldnn_fp32_23WW06.1,b32fps_cldnn_int8_23WW06.1,b32fps_cldnn_fp16_23WW06.1,b32fps_cldnn_fp32_23WW06.1,b1fps_int8_23WW07.2,b1fps_fp16_23WW07.2,b1fps_fp32_23WW07.2,b16fps_int8_23WW07.2,b16fps_fp16_23WW07.2,b16fps_fp32_23WW07.2,b32fps_int8_23WW07.2,b32fps_fp16_23WW07.2,b32fps_fp32_23WW07.2,b1fps_cldnn_int8_23WW07.2,b1fps_cldnn_fp16_23WW07.2,b1fps_cldnn_fp32_23WW07.2,b16fps_cldnn_int8_23WW07.2,b16fps_cldnn_fp16_23WW07.2,b16fps_cldnn_fp32_23WW07.2,b32fps_cldnn_int8_23WW07.2,b32fps_cldnn_fp16_23WW07.2,b32fps_cldnn_fp32_23WW07.2
googlenet-v1,,1246.93,477.81,,,,,5772.15,2076.5,,792.92,806.63,,,,,3655.3,2164.88,,1232.27,478.85,,,,,5778.01,2023.94,,792.92,806.63,,,,,3655.3,2164.88,,1248.41,483.94,,,,,5746.9,2114.45,,792.92,806.63,,,,,3655.3,2164.88,,1229.32,490.24,,,,,5903.1,2114.49,,792.92,806.63,,,,,3655.3,2164.88,,1366.25,504.74,,,,,5827.18,2230.31,,792.92,806.63,,,,,3655.3,2164.88
googlenet-v3,841.59,647.76,250.97,,,,4252.35,2749.71,707.79,995.79,519.28,369.9,,,,2217.1,1103.15,657.01,886.94,680.2,251.41,,,,4341.85,2829.7,754.85,995.79,519.28,369.9,,,,2217.1,1103.15,657.01,912.27,681.33,251.58,,,,4404.06,2816.88,755.67,995.79,519.28,369.9,,,,2217.1,1103.15,657.01,898.61,682.68,252.32,,,,4343.41,2837.92,755.27,995.79,519.28,369.9,,,,2217.1,1103.15,657.01,957.38,719.36,256.71,,,,4548.35,2721.6,775.56,995.79,519.28,369.9,,,,2217.1,1103.15,657.01
handwritten-simplified-chinese-recognition-0001,385.52,246.82,,,,,-1.0,-1.0,,187.11,128.98,,,,,-1.0,-1.0,,389.16,246.24,,,,,-1.0,-1.0,,187.11,128.98,,,,,-1.0,-1.0,,417.28,245.89,,,,,-1.0,-1.0,,187.11,128.98,,,,,-1.0,-1.0,,485.0,249.24,,,,,-1.0,-1.0,,187.11,128.98,,,,,-1.0,-1.0,,498.11,264.29,,,,,-1.0,-1.0,,187.11,128.98,,,,,-1.0,-1.0,
horizontal-text-detection-0001,,309.71,254.4,,,,,831.13,418.57,,275.01,208.23,,,,,612.32,408.86,,314.55,260.83,,,,,831.06,420.95,,275.01,208.23,,,,,612.32,408.86,,316.69,255.97,,,,,818.14,420.41,,275.01,208.23,,,,,612.32,408.86,,315.96,255.67,,,,,837.55,420.72,,275.01,208.23,,,,,612.32,408.86,,324.99,248.31,,,,,826.23,450.27,,275.01,208.23,,,,,612.32,408.86
i3d-flow,93.1,68.89,13.13,,,,143.72,109.17,-1.0,40.21,30.6,12.77,,,,-1.0,-1.0,-1.0,93.09,69.15,13.46,,,,142.72,108.28,-1.0,40.21,30.6,12.77,,,,-1.0,-1.0,-1.0,94.68,69.03,13.26,,,,141.22,108.97,-1.0,40.21,30.6,12.77,,,,-1.0,-1.0,-1.0,94.68,69.24,13.27,,,,142.51,108.73,-1.0,40.21,30.6,12.77,,,,-1.0,-1.0,-1.0,99.39,73.08,9.21,,,,143.33,109.97,-1.0,40.21,30.6,12.77,,,,-1.0,-1.0,-1.0
icv-lprnet-with-detection-head,,2148.63,,,,,,-1.0,,,1367.73,,,,,,-1.0,,,2144.91,,,,,,-1.0,,,1367.73,,,,,,-1.0,,,2135.7,,,,,,-1.0,,,1367.73,,,,,,-1.0,,,2135.29,,,,,,-1.0,,,1367.73,,,,,,-1.0,,,2196.49,,,,,,-1.0,,,1367.73,,,,,,-1.0,
icv-reid-embedding,,3858.34,,,,,,39118.86,,,4228.8,,,,,,21585.82,,,3949.02,,,,,,38217.9,,,4228.8,,,,,,21585.82,,,4002.72,,,,,,38131.8,,,4228.8,,,,,,21585.82,,,3986.88,,,,,,40532.86,,,4228.8,,,,,,21585.82,,,4201.58,,,,,,42844.57,,,4228.8,,,,,,21585.82,
icv-squeezenet-pd,,1443.8,885.04,,2211.07,1327.96,,1816.27,1278.82,,1261.98,943.93,,1821.98,1310.43,,1572.79,1269.15,,1470.42,944.97,,2246.03,1358.22,,2085.65,1377.15,,1261.98,943.93,,1821.98,1310.43,,1572.79,1269.15,,1472.45,904.97,,2245.29,1279.2,,1860.44,1368.14,,1261.98,943.93,,1821.98,1310.43,,1572.79,1269.15,,1471.31,911.17,,2178.06,1342.05,,2140.27,1375.99,,1261.98,943.93,,1821.98,1310.43,,1572.79,1269.15,,1383.61,865.79,,2227.87,1252.14,,1878.49,1313.2,,1261.98,943.93,,1821.98,1310.43,,1572.79,1269.15
icvface-0034,,1122.91,,,1904.05,,,2170.98,,,581.07,,,1782.54,,,1955.88,,,1131.43,,,1903.78,,,2139.25,,,581.07,,,1782.54,,,1955.88,,,1059.79,,,1906.49,,,2156.44,,,581.07,,,1782.54,,,1955.88,,,1167.05,,,1993.72,,,2182.59,,,581.07,,,1782.54,,,1955.88,,,1165.49,,,2254.16,,,2164.04,,,581.07,,,1782.54,,,1955.88,
image-retrieval-0001,2510.91,2701.89,,,,,14461.04,9583.27,,2390.67,1811.23,,,,,11938.69,7280.58,,2539.78,2715.12,,,,,14908.63,10021.32,,2390.67,1811.23,,,,,11938.69,7280.58,,2790.54,2641.32,,,,,14287.9,10036.97,,2390.67,1811.23,,,,,11938.69,7280.58,,2706.99,2633.86,,,,,14390.42,10174.7,,2390.67,1811.23,,,,,11938.69,7280.58,,2707.92,2632.86,,,,,16358.4,9159.28,,2390.67,1811.23,,,,,11938.69,7280.58,
imagesr-giga,175.74,128.32,,183.76,178.31,,254.81,-1.0,,149.26,90.64,,163.81,76.92,,159.21,-1.0,,176.07,128.74,,183.37,179.45,,253.98,191.74,,149.26,90.64,,163.81,76.92,,159.21,-1.0,,190.96,128.84,,186.2,181.67,,265.22,191.8,,149.26,90.64,,163.81,76.92,,159.21,-1.0,,187.96,128.83,,153.57,126.49,,160.89,124.0,,149.26,90.64,,163.81,76.92,,159.21,-1.0,,187.84,139.66,,150.46,125.97,,158.36,124.33,,149.26,90.64,,163.81,76.92,,159.21,-1.0,
imagesr-giga-detail,175.92,128.6,,,,,254.25,-1.0,,148.06,89.65,,,,,162.51,-1.0,,175.73,128.91,,,,,253.91,193.37,,148.06,89.65,,,,,162.51,-1.0,,190.28,129.0,,,,,264.79,193.94,,148.06,89.65,,,,,162.51,-1.0,,184.99,129.26,,,,,160.71,124.96,,148.06,89.65,,,,,162.51,-1.0,,187.96,139.27,,,,,157.72,123.99,,148.06,89.65,,,,,162.51,-1.0,
inceptionv3-int8-onnx-0001,,875.24,882.56,,,,,4602.17,4939.08,,1024.61,1024.18,,,,,2433.07,2393.12,,913.63,911.94,,,,,4617.7,5032.01,,1024.61,1024.18,,,,,2433.07,2393.12,,943.71,951.29,,,,,5019.12,4986.66,,1024.61,1024.18,,,,,2433.07,2393.12,,937.6,937.75,,,,,4995.91,5081.29,,1024.61,1024.18,,,,,2433.07,2393.12,,970.15,977.68,,,,,5807.08,5722.67,,1024.61,1024.18,,,,,2433.07,2393.12
inceptionv3_ssd,,304.27,126.61,,,,,903.96,235.52,,246.09,153.6,,,,,367.7,216.91,,310.69,128.39,,,,,907.34,250.05,,246.09,153.6,,,,,367.7,216.91,,348.8,128.62,,,,,906.88,251.68,,246.09,153.6,,,,,367.7,216.91,,354.29,128.57,,,,,917.4,248.92,,246.09,153.6,,,,,367.7,216.91,,353.55,130.26,,,,,752.09,256.75,,246.09,153.6,,,,,367.7,216.91
instance-segmentation-security-1039,,150.76,,,-1.0,,,-1.0,,,68.39,,,-1.0,,,-1.0,,,150.65,,,-1.0,,,-1.0,,,68.39,,,-1.0,,,-1.0,,,151.09,,,-1.0,,,-1.0,,,68.39,,,-1.0,,,-1.0,,,158.87,,,-1.0,,,-1.0,,,68.39,,,-1.0,,,-1.0,,,164.42,,,-1.0,,,-1.0,,,68.39,,,-1.0,,,-1.0,
kuaishou-blocky,849.88,528.74,184.64,,,,1864.98,1217.21,207.98,667.89,363.38,177.91,,,,724.36,409.23,201.68,782.58,535.98,198.71,,,,1865.02,1215.87,222.6,667.89,363.38,177.91,,,,724.36,409.23,201.68,849.9,561.98,202.77,,,,1875.46,1199.41,229.45,667.89,363.38,177.91,,,,724.36,409.23,201.68,811.9,569.07,196.93,,,,1877.15,1200.63,218.3,667.89,363.38,177.91,,,,724.36,409.23,201.68,943.52,642.07,210.16,,,,1881.2,1205.92,231.91,667.89,363.38,177.91,,,,724.36,409.23,201.68
