name,b1fps_int8_22WW51.1,b1fps_fp16_22WW51.1,b1fps_fp32_22WW51.1,b16fps_int8_22WW51.1,b16fps_fp16_22WW51.1,b16fps_fp32_22WW51.1,b32fps_int8_22WW51.1,b32fps_fp16_22WW51.1,b32fps_fp32_22WW51.1,b1fps_cldnn_int8_22WW51.1,b1fps_cldnn_fp16_22WW51.1,b1fps_cldnn_fp32_22WW51.1,b16fps_cldnn_int8_22WW51.1,b16fps_cldnn_fp16_22WW51.1,b16fps_cldnn_fp32_22WW51.1,b32fps_cldnn_int8_22WW51.1,b32fps_cldnn_fp16_22WW51.1,b32fps_cldnn_fp32_22WW51.1,b1fps_int8_23WW01.4,b1fps_fp16_23WW01.4,b1fps_fp32_23WW01.4,b16fps_int8_23WW01.4,b16fps_fp16_23WW01.4,b16fps_fp32_23WW01.4,b32fps_int8_23WW01.4,b32fps_fp16_23WW01.4,b32fps_fp32_23WW01.4,b1fps_cldnn_int8_23WW01.4,b1fps_cldnn_fp16_23WW01.4,b1fps_cldnn_fp32_23WW01.4,b16fps_cldnn_int8_23WW01.4,b16fps_cldnn_fp16_23WW01.4,b16fps_cldnn_fp32_23WW01.4,b32fps_cldnn_int8_23WW01.4,b32fps_cldnn_fp16_23WW01.4,b32fps_cldnn_fp32_23WW01.4,b1fps_int8_23WW03.4,b1fps_fp16_23WW03.4,b1fps_fp32_23WW03.4,b16fps_int8_23WW03.4,b16fps_fp16_23WW03.4,b16fps_fp32_23WW03.4,b32fps_int8_23WW03.4,b32fps_fp16_23WW03.4,b32fps_fp32_23WW03.4,b1fps_cldnn_int8_23WW03.4,b1fps_cldnn_fp16_23WW03.4,b1fps_cldnn_fp32_23WW03.4,b16fps_cldnn_int8_23WW03.4,b16fps_cldnn_fp16_23WW03.4,b16fps_cldnn_fp32_23WW03.4,b32fps_cldnn_int8_23WW03.4,b32fps_cldnn_fp16_23WW03.4,b32fps_cldnn_fp32_23WW03.4,b1fps_int8_23WW06.1,b1fps_fp16_23WW06.1,b1fps_fp32_23WW06.1,b16fps_int8_23WW06.1,b16fps_fp16_23WW06.1,b16fps_fp32_23WW06.1,b32fps_int8_23WW06.1,b32fps_fp16_23WW06.1,b32fps_fp32_23WW06.1,b1fps_cldnn_int8_23WW06.1,b1fps_cldnn_fp16_23WW06.1,b1fps_cldnn_fp32_23WW06.1,b16fps_cldnn_int8_23WW06.1,b16fps_cldnn_fp16_23WW06.1,b16fps_cldnn_fp32_23WW06.1,b32fps_cldnn_int8_23WW06.1,b32fps_cldnn_fp16_23WW06.1,b32fps_cldnn_fp32_23WW06.1,b1fps_int8_23WW07.2,b1fps_fp16_23WW07.2,b1fps_fp32_23WW07.2,b16fps_int8_23WW07.2,b16fps_fp16_23WW07.2,b16fps_fp32_23WW07.2,b32fps_int8_23WW07.2,b32fps_fp16_23WW07.2,b32fps_fp32_23WW07.2,b1fps_cldnn_int8_23WW07.2,b1fps_cldnn_fp16_23WW07.2,b1fps_cldnn_fp32_23WW07.2,b16fps_cldnn_int8_23WW07.2,b16fps_cldnn_fp16_23WW07.2,b16fps_cldnn_fp32_23WW07.2,b32fps_cldnn_int8_23WW07.2,b32fps_cldnn_fp16_23WW07.2,b32fps_cldnn_fp32_23WW07.2
kuaishou-blur,653.93,386.32,180.78,,,,1771.76,1107.02,254.39,558.58,327.19,199.79,,,,862.85,391.34,259.15,669.79,385.67,175.61,,,,1765.85,1109.96,262.09,558.58,327.19,199.79,,,,862.85,391.34,259.15,704.9,432.35,175.26,,,,1806.59,1117.01,266.85,558.58,327.19,199.79,,,,862.85,391.34,259.15,694.16,436.98,161.06,,,,1805.05,1118.98,258.64,558.58,327.19,199.79,,,,862.85,391.34,259.15,725.39,461.94,166.19,,,,1957.28,1134.65,276.49,558.58,327.19,199.79,,,,862.85,391.34,259.15
kuaishou-defocusv4,1176.54,850.95,355.23,,,,5887.98,3754.7,649.06,753.99,532.79,361.25,,,,1720.21,1163.51,640.09,1234.97,949.68,336.38,,,,5959.43,3817.38,696.65,753.99,532.79,361.25,,,,1720.21,1163.51,640.09,1242.51,969.2,357.85,,,,5905.7,3750.95,685.33,753.99,532.79,361.25,,,,1720.21,1163.51,640.09,1250.41,962.7,339.16,,,,5882.19,3716.36,674.41,753.99,532.79,361.25,,,,1720.21,1163.51,640.09,1270.6,1008.63,347.01,,,,5695.47,3747.84,727.29,753.99,532.79,361.25,,,,1720.21,1163.51,640.09
kuaishou-dirtylens,8329.28,10392.44,9632.14,,,,38936.39,-1.0,-1.0,8377.36,5963.67,6088.78,,,,32204.82,-1.0,-1.0,8424.9,10425.89,9204.36,,,,38955.42,-1.0,-1.0,8377.36,5963.67,6088.78,,,,32204.82,-1.0,-1.0,8533.35,10316.94,9259.98,,,,39425.48,-1.0,-1.0,8377.36,5963.67,6088.78,,,,32204.82,-1.0,-1.0,7209.31,10460.98,9366.92,,,,39169.91,-1.0,-1.0,8377.36,5963.67,6088.78,,,,32204.82,-1.0,-1.0,6059.16,10842.11,9713.97,,,,49851.65,-1.0,-1.0,8377.36,5963.67,6088.78,,,,32204.82,-1.0,-1.0
kuaishou-noise,1836.54,1270.77,535.49,,,,5558.31,3704.08,617.98,1437.27,868.21,514.15,,,,2239.7,1243.98,605.18,1824.36,1280.45,565.59,,,,5571.32,3685.84,654.72,1437.27,868.21,514.15,,,,2239.7,1243.98,605.18,1863.2,1200.0,563.6,,,,5642.98,3625.07,651.06,1437.27,868.21,514.15,,,,2239.7,1243.98,605.18,1832.11,1195.02,550.66,,,,5640.38,3640.56,629.4,1437.27,868.21,514.15,,,,2239.7,1243.98,605.18,1900.07,1308.32,581.8,,,,5668.22,3615.58,666.73,1437.27,868.21,514.15,,,,2239.7,1243.98,605.18
landmarks-regression-retail-0009,10542.98,11503.21,,,,,149119.09,167387.83,,10359.68,7290.87,,,,,186274.66,107366.22,,10504.33,11474.42,,,,,159583.42,168397.99,,10359.68,7290.87,,,,,186274.66,107366.22,,10881.27,11451.78,,,,,151295.4,171092.57,,10359.68,7290.87,,,,,186274.66,107366.22,,10769.4,11442.52,,,,,164767.04,171165.01,,10359.68,7290.87,,,,,186274.66,107366.22,,11087.98,12121.62,,,,,158971.5,184638.28,,10359.68,7290.87,,,,,186274.66,107366.22,
lensblur,137.37,121.57,,,,,205.56,153.09,,109.55,58.59,,,,,-1.0,-1.0,,137.14,124.35,,,,,208.97,158.03,,109.55,58.59,,,,,-1.0,-1.0,,133.5,123.35,,,,,198.61,154.92,,109.55,58.59,,,,,-1.0,-1.0,,136.63,132.19,,,,,157.0,124.38,,109.55,58.59,,,,,-1.0,-1.0,,141.36,135.49,,,,,158.89,124.07,,109.55,58.59,,,,,-1.0,-1.0,
levit-128s,770.87,642.13,627.69,,,,4000.85,6073.73,5431.35,703.14,575.4,566.82,,,,5318.67,5748.6,4280.62,782.81,642.33,627.93,,,,4358.98,6429.44,5499.86,703.14,575.4,566.82,,,,5318.67,5748.6,4280.62,643.51,549.17,625.28,,,,6464.46,7190.31,5769.72,703.14,575.4,566.82,,,,5318.67,5748.6,4280.62,838.63,934.73,859.87,,,,6561.36,6947.31,5944.06,703.14,575.4,566.82,,,,5318.67,5748.6,4280.62,866.93,1007.22,926.88,,,,8060.87,9224.04,6223.31,703.14,575.4,566.82,,,,5318.67,5748.6,4280.62
license-plate-recognition-barrier-0001,2894.92,2679.75,,,,,-1.0,-1.0,,3020.05,1556.18,,,,,-1.0,-1.0,,2932.25,2685.41,,,,,-1.0,-1.0,,3020.05,1556.18,,,,,-1.0,-1.0,,2949.82,2665.82,,,,,-1.0,-1.0,,3020.05,1556.18,,,,,-1.0,-1.0,,2877.82,2615.28,,,,,-1.0,-1.0,,3020.05,1556.18,,,,,-1.0,-1.0,,3086.36,2827.88,,,,,-1.0,-1.0,,3020.05,1556.18,,,,,-1.0,-1.0,
lpcnet_encoder,6040.8,5880.32,,18040.07,18791.93,,16945.04,18497.14,,7134.76,2996.21,,15565.68,4032.39,,16452.33,4107.5,,5992.89,5826.94,,18073.69,18848.18,,16934.47,18497.19,,7134.76,2996.21,,15565.68,4032.39,,16452.33,4107.5,,5952.38,5809.33,,17808.49,18812.99,,18876.14,19649.53,,7134.76,2996.21,,15565.68,4032.39,,16452.33,4107.5,,5312.69,6343.94,,17946.63,18875.35,,18820.09,19650.78,,7134.76,2996.21,,15565.68,4032.39,,16452.33,4107.5,,6434.0,6933.04,,17622.1,19687.9,,18866.97,20374.75,,7134.76,2996.21,,15565.68,4032.39,,16452.33,4107.5,
machine-translation-nar-en-de-0001,,137.26,,,,,,586.85,,,118.15,,,,,,-1.0,,,137.58,,,,,,587.18,,,118.15,,,,,,-1.0,,,109.11,,,,,,572.76,,,118.15,,,,,,-1.0,,,191.64,,,,,,-1.0,,,118.15,,,,,,-1.0,,,203.59,,,,,,-1.0,,,118.15,,,,,,-1.0,
machine-translation-nar-en-ru-0001,,137.47,,,,,,-1.0,,,134.18,,,,,,-1.0,,,148.3,,,,,,-1.0,,,134.18,,,,,,-1.0,,,120.33,,,,,,-1.0,,,134.18,,,,,,-1.0,,,213.69,,,,,,-1.0,,,134.18,,,,,,-1.0,,,224.08,,,,,,-1.0,,,134.18,,,,,,-1.0,
mask_rcnn_resnet101_atrous_coco,23.72,15.74,1.87,,,,-1.0,-1.0,-1.0,8.31,5.1,2.4,,,,-1.0,-1.0,-1.0,24.03,15.91,1.91,,,,-1.0,-1.0,-1.0,8.31,5.1,2.4,,,,-1.0,-1.0,-1.0,24.77,15.37,1.89,,,,-1.0,-1.0,-1.0,8.31,5.1,2.4,,,,-1.0,-1.0,-1.0,22.69,13.78,2.16,,,,-1.0,-1.0,-1.0,8.31,5.1,2.4,,,,-1.0,-1.0,-1.0,23.83,13.52,2.18,,,,-1.0,-1.0,-1.0,8.31,5.1,2.4,,,,-1.0,-1.0,-1.0
mask_rcnn_resnet50_atrous_coco,29.54,20.54,,,,,-1.0,-1.0,,9.47,6.51,,,,,-1.0,-1.0,,32.6,19.53,,,,,-1.0,-1.0,,9.47,6.51,,,,,-1.0,-1.0,,29.18,19.2,,,,,-1.0,-1.0,,9.47,6.51,,,,,-1.0,-1.0,,26.91,16.76,,,,,-1.0,-1.0,,9.47,6.51,,,,,-1.0,-1.0,,27.75,16.36,,,,,-1.0,-1.0,,9.47,6.51,,,,,-1.0,-1.0,
mobilenet-v1-0.25-128,5975.27,6236.7,,,,,61972.13,68848.1,,6413.58,6211.91,,,,,47118.36,39871.95,,5986.33,6399.63,,,,,63890.57,68472.17,,6413.58,6211.91,,,,,47118.36,39871.95,,6224.51,6594.55,,,,,63332.03,65751.68,,6413.58,6211.91,,,,,47118.36,39871.95,,6229.76,6498.86,,,,,60018.8,66803.5,,6413.58,6211.91,,,,,47118.36,39871.95,,5182.44,7085.89,,,,,56480.93,54098.4,,6413.58,6211.91,,,,,47118.36,39871.95,
mobilenet-v3-large-1.0-224,1862.88,1545.0,,6751.29,7632.02,,8468.06,7892.73,,1860.89,1314.19,,5288.31,3931.92,,5621.54,3339.53,,1867.82,1530.44,,7348.83,7520.86,,7957.54,7901.96,,1860.89,1314.19,,5288.31,3931.92,,5621.54,3339.53,,1866.29,1508.98,,7082.42,7456.51,,9104.28,7320.38,,1860.89,1314.19,,5288.31,3931.92,,5621.54,3339.53,,1767.61,1674.01,,9077.75,7744.57,,10811.94,8611.6,,1860.89,1314.19,,5288.31,3931.92,,5621.54,3339.53,,1808.7,1791.88,,10654.79,7651.81,,11397.04,7674.51,,1860.89,1314.19,,5288.31,3931.92,,5621.54,3339.53,
mobilenet-v3-small-1.0-224,2139.09,1884.3,,,,,14504.35,14102.76,,2429.91,1661.03,,,,,12576.07,11588.52,,2133.31,1912.89,,,,,14333.52,14491.76,,2429.91,1661.03,,,,,12576.07,11588.52,,2175.27,1918.28,,,,,14294.32,16229.3,,2429.91,1661.03,,,,,12576.07,11588.52,,2022.24,2105.13,,,,,17476.74,18519.07,,2429.91,1661.03,,,,,12576.07,11588.52,,2023.82,2119.16,,,,,18992.7,16738.86,,2429.91,1661.03,,,,,12576.07,11588.52,
modnet_webcam_portrait_matting,149.66,146.39,,,,,109.8,138.09,,127.45,117.87,,,,,177.95,50.49,,151.37,148.33,,,,,109.66,137.61,,127.45,117.87,,,,,177.95,50.49,,158.35,155.93,,,,,114.77,138.35,,127.45,117.87,,,,,177.95,50.49,,176.2,169.6,,,,,139.55,198.04,,127.45,117.87,,,,,177.95,50.49,,205.16,185.94,,,,,145.94,183.47,,127.45,117.87,,,,,177.95,50.49,
motionblur,137.2,122.98,,109.82,137.03,,202.52,158.65,,115.46,60.23,,117.67,-1.0,,-1.0,-1.0,,137.28,124.5,,109.76,138.74,,209.0,156.2,,115.46,60.23,,117.67,-1.0,,-1.0,-1.0,,134.4,122.86,,123.03,139.85,,198.71,158.53,,115.46,60.23,,117.67,-1.0,,-1.0,-1.0,,136.82,129.68,,127.28,121.2,,157.09,123.72,,115.46,60.23,,117.67,-1.0,,-1.0,-1.0,,141.95,132.34,,124.28,123.43,,158.57,123.37,,115.46,60.23,,117.67,-1.0,,-1.0,-1.0,
octave-resnet-101-0.125,242.78,215.76,122.85,,,,1732.67,958.16,476.75,231.51,166.83,121.35,,,,1317.8,546.11,448.6,241.98,217.61,126.06,,,,1728.32,960.49,474.46,231.51,166.83,121.35,,,,1317.8,546.11,448.6,239.85,215.59,125.71,,,,1705.65,935.37,473.2,231.51,166.83,121.35,,,,1317.8,546.11,448.6,237.94,215.2,125.94,,,,1709.18,931.69,473.16,231.51,166.83,121.35,,,,1317.8,546.11,448.6,254.34,224.66,130.01,,,,2015.59,1178.87,504.75,231.51,166.83,121.35,,,,1317.8,546.11,448.6
octave-resnet-200-0.125,123.46,108.62,,,,,863.33,474.06,,117.52,93.7,,,,,690.74,279.52,,113.7,109.54,,,,,863.15,470.33,,117.52,93.7,,,,,690.74,279.52,,115.69,107.52,,,,,853.62,463.92,,117.52,93.7,,,,,690.74,279.52,,111.28,107.78,,,,,850.54,508.69,,117.52,93.7,,,,,690.74,279.52,,129.92,113.5,,,,,1001.1,591.34,,117.52,93.7,,,,,690.74,279.52,
octave-resnext-101-0.25,206.93,222.82,141.92,,,,577.81,611.07,395.06,211.91,163.53,126.88,,,,905.3,316.45,365.07,201.65,235.28,137.58,,,,577.93,611.82,394.48,211.91,163.53,126.88,,,,905.3,316.45,365.07,201.07,230.09,137.43,,,,612.59,613.31,411.69,211.91,163.53,126.88,,,,905.3,316.45,365.07,197.38,229.51,143.8,,,,610.76,641.81,411.64,211.91,163.53,126.88,,,,905.3,316.45,365.07,218.67,253.66,149.79,,,,719.93,731.03,442.6,211.91,163.53,126.88,,,,905.3,316.45,365.07
octave-resnext-50-0.25,406.11,412.59,,,,,800.15,904.56,,421.63,323.86,,,,,1411.22,534.2,,390.54,439.62,,,,,798.43,904.15,,421.63,323.86,,,,,1411.22,534.2,,400.71,419.3,,,,,862.25,932.33,,421.63,323.86,,,,,1411.22,534.2,,395.04,436.09,,,,,863.13,968.53,,421.63,323.86,,,,,1411.22,534.2,,420.4,463.92,,,,,1004.65,1090.33,,421.63,323.86,,,,,1411.22,534.2,
open-closed-eye-0001,13240.98,15114.4,,,,,265375.32,350776.98,,15603.58,15177.08,,,,,337518.63,370444.2,,13152.31,15071.36,,,,,240418.23,349298.64,,15603.58,15177.08,,,,,337518.63,370444.2,,13474.04,14824.63,,,,,286288.53,379617.67,,15603.58,15177.08,,,,,337518.63,370444.2,,13573.95,15002.86,,,,,280720.2,374891.14,,15603.58,15177.08,,,,,337518.63,370444.2,,13800.9,15608.45,,,,,212170.51,241316.3,,15603.58,15177.08,,,,,337518.63,370444.2,
openpose-hand,,135.24,,,,,,452.82,,,104.48,,,,,,33.68,,,136.21,,,,,,453.14,,,104.48,,,,,,33.68,,,136.03,,,,,,457.49,,,104.48,,,,,,33.68,,,135.94,,,,,,452.48,,,104.48,,,,,,33.68,,,140.52,,,,,,459.71,,,104.48,,,,,,33.68,
person-detection-0102,1552.02,1400.39,,,,,2347.05,1647.06,,1194.03,911.55,,,,,2252.49,1408.28,,1550.78,1416.86,,,,,2350.35,1656.87,,1194.03,911.55,,,,,2252.49,1408.28,,1578.41,1381.14,,,,,2327.55,1654.43,,1194.03,911.55,,,,,2252.49,1408.28,,1593.66,1425.32,,,,,2893.04,1720.47,,1194.03,911.55,,,,,2252.49,1408.28,,1478.22,1175.85,,,,,2368.41,1656.08,,1194.03,911.55,,,,,2252.49,1408.28,
person-detection-0106,,19.29,7.84,,-1.0,-1.0,,-1.0,-1.0,,13.05,6.86,,-1.0,-1.0,,-1.0,-1.0,,19.24,7.8,,-1.0,-1.0,,-1.0,-1.0,,13.05,6.86,,-1.0,-1.0,,-1.0,-1.0,,19.23,7.16,,-1.0,-1.0,,-1.0,-1.0,,13.05,6.86,,-1.0,-1.0,,-1.0,-1.0,,20.16,6.84,,-1.0,-1.0,,-1.0,-1.0,,13.05,6.86,,-1.0,-1.0,,-1.0,-1.0,,22.74,6.65,,-1.0,-1.0,,-1.0,-1.0,,13.05,6.86,,-1.0,-1.0,,-1.0,-1.0
person-detection-action-recognition-0006,459.41,499.99,,,,,740.19,762.96,,433.56,401.04,,,,,809.52,391.4,,487.36,539.76,,,,,770.55,761.34,,433.56,401.04,,,,,809.52,391.4,,507.75,515.59,,,,,729.48,762.91,,433.56,401.04,,,,,809.52,391.4,,509.93,515.7,,,,,729.54,758.39,,433.56,401.04,,,,,809.52,391.4,,518.05,523.73,,,,,731.41,756.26,,433.56,401.04,,,,,809.52,391.4,
person-reidentification-retail-0248,833.5,966.85,,,,,7876.5,9831.6,,880.71,1062.85,,,,,7884.66,5674.97,,741.41,928.73,,,,,7986.87,9996.84,,880.71,1062.85,,,,,7884.66,5674.97,,738.17,907.36,,,,,7988.22,9752.53,,880.71,1062.85,,,,,7884.66,5674.97,,733.04,884.59,,,,,8235.93,10696.51,,880.71,1062.85,,,,,7884.66,5674.97,,861.32,1047.81,,,,,8392.05,11117.7,,880.71,1062.85,,,,,7884.66,5674.97,
person-reidentification-retail-0277,761.74,809.71,,2866.54,3081.28,,3602.1,3587.17,,758.59,862.48,,2624.19,2415.77,,3019.4,2768.2,,706.06,835.98,,3027.51,3004.18,,3665.65,3632.62,,758.59,862.48,,2624.19,2415.77,,3019.4,2768.2,,685.4,834.14,,3033.73,2973.35,,3590.21,3451.88,,758.59,862.48,,2624.19,2415.77,,3019.4,2768.2,,693.63,829.44,,3789.47,3307.47,,4197.28,3552.89,,758.59,862.48,,2624.19,2415.77,,3019.4,2768.2,,844.94,935.38,,4157.2,3420.13,,4824.6,3891.96,,758.59,862.48,,2624.19,2415.77,,3019.4,2768.2,
person-reidentification-retail-0287,764.78,897.73,874.24,,,,5858.6,5928.09,4043.84,771.43,919.45,952.45,,,,5198.29,4817.98,4085.77,694.34,870.29,872.1,,,,6083.67,6337.01,4050.71,771.43,919.45,952.45,,,,5198.29,4817.98,4085.77,689.32,848.19,875.18,,,,5909.72,6208.06,3948.73,771.43,919.45,952.45,,,,5198.29,4817.98,4085.77,660.76,845.87,872.83,,,,7057.38,6266.91,3987.88,771.43,919.45,952.45,,,,5198.29,4817.98,4085.77,816.85,974.63,944.61,,,,7732.48,6900.21,4537.44,771.43,919.45,952.45,,,,5198.29,4817.98,4085.77
person-vehicle-bike-detection-crossroad-yolov3-1020,514.77,288.71,,928.45,666.94,,968.24,744.02,,280.48,204.46,,470.61,255.14,,472.49,262.87,,529.02,294.8,,942.84,671.32,,971.92,742.24,,280.48,204.46,,470.61,255.14,,472.49,262.87,,532.87,284.92,,941.1,666.23,,976.36,740.33,,280.48,204.46,,470.61,255.14,,472.49,262.87,,534.26,307.72,,938.05,667.47,,990.25,743.05,,280.48,204.46,,470.61,255.14,,472.49,262.87,,519.42,307.29,,989.47,682.55,,1069.34,747.57,,280.48,204.46,,470.61,255.14,,472.49,262.87,
places205-googlenet,,1302.15,487.2,,,,,5206.99,1986.5,,714.2,784.31,,,,,3653.83,2077.71,,1307.21,488.09,,,,,5248.76,1952.04,,714.2,784.31,,,,,3653.83,2077.71,,1312.32,486.95,,,,,5209.0,1956.04,,714.2,784.31,,,,,3653.83,2077.71,,1302.11,502.12,,,,,5195.6,2069.92,,714.2,784.31,,,,,3653.83,2077.71,,1412.86,518.15,,,,,5916.62,2238.7,,714.2,784.31,,,,,3653.83,2077.71
pose-ae-multiperson-pytorch,,90.45,,,,,,140.06,,,28.66,,,,,,-1.0,,,90.65,,,,,,139.48,,,28.66,,,,,,-1.0,,,90.01,,,,,,138.91,,,28.66,,,,,,-1.0,,,90.04,,,,,,139.53,,,28.66,,,,,,-1.0,,,94.76,,,,,,144.12,,,28.66,,,,,,-1.0,
rcan,24.46,23.02,6.38,,,,27.99,-1.0,-1.0,20.2,11.95,6.27,,,,-1.0,-1.0,-1.0,24.47,22.76,6.43,,,,27.91,-1.0,-1.0,20.2,11.95,6.27,,,,-1.0,-1.0,-1.0,24.57,22.77,6.52,,,,28.05,-1.0,-1.0,20.2,11.95,6.27,,,,-1.0,-1.0,-1.0,38.45,23.01,6.52,,,,50.81,-1.0,-1.0,20.2,11.95,6.27,,,,-1.0,-1.0,-1.0,40.79,23.95,6.62,,,,54.72,-1.0,-1.0,20.2,11.95,6.27,,,,-1.0,-1.0,-1.0
refinenet,,238.46,,,,,,748.15,,,110.48,,,,,,178.75,,,239.59,,,,,,769.43,,,110.48,,,,,,178.75,,,241.05,,,,,,759.87,,,110.48,,,,,,178.75,,,241.17,,,,,,701.81,,,110.48,,,,,,178.75,,,244.14,,,,,,726.22,,,110.48,,,,,,178.75,
resmlp-12-distilled-224,847.69,670.79,,,,,2164.43,2651.01,,677.81,557.62,,,,,2599.02,1943.37,,850.21,669.96,,,,,2166.47,2635.58,,677.81,557.62,,,,,2599.02,1943.37,,858.96,673.84,,,,,3225.38,3039.14,,677.81,557.62,,,,,2599.02,1943.37,,1211.88,1073.43,,,,,3624.04,2979.63,,677.81,557.62,,,,,2599.02,1943.37,,1272.25,1146.08,,,,,4096.2,3630.16,,677.81,557.62,,,,,2599.02,1943.37,
resnest-101-pytorch,324.65,314.72,151.24,,,,1146.63,741.84,-1.0,277.32,197.62,141.92,,,,958.15,-1.0,-1.0,333.44,316.5,151.14,,,,1144.83,740.67,-1.0,277.32,197.62,141.92,,,,958.15,-1.0,-1.0,331.96,313.08,151.33,,,,1149.74,735.19,-1.0,277.32,197.62,141.92,,,,958.15,-1.0,-1.0,353.83,314.75,148.6,,,,2025.29,936.76,-1.0,277.32,197.62,141.92,,,,958.15,-1.0,-1.0,387.22,326.61,153.41,,,,2338.87,980.22,-1.0,277.32,197.62,141.92,,,,958.15,-1.0,-1.0
resnest-50-pytorch,679.44,625.62,,,,,2177.79,1679.67,,546.54,408.18,,,,,1957.88,779.26,,676.94,632.12,,,,,2173.6,1651.11,,546.54,408.18,,,,,1957.88,779.26,,680.02,625.47,,,,,2192.59,1678.03,,546.54,408.18,,,,,1957.88,779.26,,770.68,625.78,,,,,3767.22,1835.72,,546.54,408.18,,,,,1957.88,779.26,,793.86,650.71,,,,,3881.89,1958.81,,546.54,408.18,,,,,1957.88,779.26,
resnet-152,807.26,549.08,,3472.31,1987.11,,4360.59,2547.82,,301.47,226.4,,1433.02,663.06,,1644.08,927.09,,813.47,550.99,,3496.55,2081.67,,4427.14,2609.31,,301.47,226.4,,1433.02,663.06,,1644.08,927.09,,797.19,558.49,,3464.86,2039.28,,4425.19,2431.69,,301.47,226.4,,1433.02,663.06,,1644.08,927.09,,790.24,558.86,,3562.2,2015.43,,4421.9,2439.37,,301.47,226.4,,1433.02,663.06,,1644.08,927.09,,798.88,567.36,,3626.38,2021.19,,4584.28,2481.65,,301.47,226.4,,1433.02,663.06,,1644.08,927.09,
resnet-18,3788.63,2745.52,1024.65,,,,19498.19,12805.88,2695.57,3311.46,1354.53,1019.91,,,,8845.91,4948.63,2622.89,3872.28,2773.2,1036.6,,,,21041.45,12852.61,2692.52,3311.46,1354.53,1019.91,,,,8845.91,4948.63,2622.89,3879.22,2937.4,1038.75,,,,19031.48,13091.05,2722.29,3311.46,1354.53,1019.91,,,,8845.91,4948.63,2622.89,3541.64,2933.96,1039.48,,,,19064.43,12790.5,2706.3,3311.46,1354.53,1019.91,,,,8845.91,4948.63,2622.89,3639.62,3065.92,1069.28,,,,19698.47,14223.01,2871.19,3311.46,1354.53,1019.91,,,,8845.91,4948.63,2622.89
resnet-34-pytorch,2515.14,1671.93,,,,,13473.41,7894.82,,1745.1,711.4,,,,,4938.17,2540.23,,2608.02,1778.04,,,,,13482.8,8271.54,,1745.1,711.4,,,,,4938.17,2540.23,,2593.02,1792.66,,,,,13274.3,8158.25,,1745.1,711.4,,,,,4938.17,2540.23,,2370.49,1809.33,,,,,13288.02,8180.37,,1745.1,711.4,,,,,4938.17,2540.23,,2484.52,1776.73,,,,,13849.29,8857.02,,1745.1,711.4,,,,,4938.17,2540.23,
resnet-50,2047.57,1456.63,464.18,,,,9430.46,5721.43,1008.27,1080.69,648.61,420.31,,,,4244.21,1936.44,1137.94,2043.69,1447.45,438.48,,,,9463.8,5679.46,1031.7,1080.69,648.61,420.31,,,,4244.21,1936.44,1137.94,1982.43,1497.95,439.64,,,,9536.92,5662.92,1046.07,1080.69,648.61,420.31,,,,4244.21,1936.44,1137.94,2048.76,1486.07,437.54,,,,9545.46,5678.01,1032.2,1080.69,648.61,420.31,,,,4244.21,1936.44,1137.94,2100.12,1514.09,452.55,,,,9655.28,5687.39,1103.48,1080.69,648.61,420.31,,,,4244.21,1936.44,1137.94
resnet_v1.5_50,1937.25,,,,,,8483.2,,,921.54,,,,,,3997.44,,,1917.12,,,,,,8513.98,,,921.54,,,,,,3997.44,,,1860.61,,,,,,8527.12,,,921.54,,,,,,3997.44,,,1857.72,,,,,,8551.33,,,921.54,,,,,,3997.44,,,1967.62,,,,,,8567.62,,,921.54,,,,,,3997.44,,
resnext101-32x16d-swsl,464.27,234.93,,,,,1690.85,967.26,,260.08,131.48,,,,,-1.0,-1.0,,490.27,241.95,,,,,1721.65,997.2,,260.08,131.48,,,,,-1.0,-1.0,,499.89,243.32,,,,,1897.99,989.44,,260.08,131.48,,,,,-1.0,-1.0,,492.22,242.72,,,,,1909.07,987.6,,260.08,131.48,,,,,-1.0,-1.0,,505.86,245.63,,,,,1899.5,1002.19,,260.08,131.48,,,,,-1.0,-1.0,
rexnet-v1-x1.0,605.7,808.3,,,,,-1.0,-1.0,,592.69,549.44,,,,,-1.0,-1.0,,572.07,804.95,,,,,-1.0,-1.0,,592.69,549.44,,,,,-1.0,-1.0,,594.95,815.38,,,,,-1.0,-1.0,,592.69,549.44,,,,,-1.0,-1.0,,602.89,808.66,,,,,-1.0,-1.0,,592.69,549.44,,,,,-1.0,-1.0,,640.86,828.63,,,,,-1.0,-1.0,,592.69,549.44,,,,,-1.0,-1.0,
rfcn-resnet101-coco,163.2,117.91,,,,,258.42,235.21,,111.77,82.25,,,,,115.08,-1.0,,173.53,119.13,,,,,257.63,237.2,,111.77,82.25,,,,,115.08,-1.0,,175.65,119.71,,,,,256.4,237.28,,111.77,82.25,,,,,115.08,-1.0,,176.41,119.95,,,,,272.06,256.26,,111.77,82.25,,,,,115.08,-1.0,,170.92,120.71,,,,,270.57,255.0,,111.77,82.25,,,,,115.08,-1.0,
