perf_trend,int8_b1,int8_b16,int8_b32,fp16_b1,fp16_b16,fp16_b32,fp32_b1,fp32_b16,fp32_b32
22WW51.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23WW01.4,1.0022913126566066,1.033875024457154,1.0046530005309142,1.0107585760138331,1.0000815730249237,1.007042875951888,1.0058086828906765,1.0053290815831089,1.0192070518047456
23WW03.4,1.0096265909923168,1.0238332144210553,1.0317719856247745,1.008666421033455,0.9999965241916364,1.0172899508220477,1.0081969763331748,1.0041609755686163,1.0385720146802473
23WW06.1,1.0263344664104448,1.1220779118833655,1.0754289665495125,1.0654585725591639,1.0588550045144522,1.0377925872069753,1.0494078332163834,1.051094374863641,1.0342157711023325
23WW07.2,1.0708107462014549,1.1851602179929397,1.1143134161037598,1.1133718035141624,1.0850642614124355,1.0538687102053523,1.0849802189898823,1.0976786010785209,1.0981107891197748
