vs_clDNN,int8_b1,int8_b16,int8_b32,fp16_b1,fp16_b16,fp16_b32,fp32_b1,fp32_b16,fp32_b32
22WW51.1,1.2520462494356328,1.298495691589205,1.4000796568435916,1.476192007729198,1.7341338072540502,2.0846344996391437,0.9941559720206739,0.9682045633617041,1.0397779798950921
23WW01.4,1.2549150788536214,1.3424822648992982,1.4062467868243365,1.4939678108014023,1.7329468428456676,2.0989896403660566,0.9999307088060142,0.9733642044689969,1.0597490494203707
23WW03.4,1.2640991865824138,1.329443017831667,1.446236545556064,1.4883226937609846,1.734495296667937,2.128289897676499,1.0023050449948119,0.9722332388952749,1.0798843113998033
23WW06.1,1.285018219335719,1.4570133342079616,1.510400659417349,1.5701711323390386,1.857136766685934,2.197625476531875,1.0432750644773428,1.0176743702667947,1.0753547852524283
23WW07.2,1.340704578636903,1.538925436906755,1.5659714096100452,1.6433451359361817,1.9081307987424079,2.2352169950596945,1.07863956423309,1.0627774306687154,1.1417914180119648
23WW10.4,1.2122017558535927,1.3475972937432856,1.3961218115310767,1.4992934043307569,1.9309966844105713,2.1551219677312012,1.036390100995295,0.9938209575127206,1.0473657943410415
23WW11.5,1.3248997812857404,1.5776858019107791,1.580975236428411,1.615597015909454,1.9808667979392376,2.317134847976864,1.0825550939707254,1.088418546568705,1.177385019426507
23WW13.4,1.2085703803813568,1.3367108576720559,1.3771936691008593,1.4800512905037106,1.9011266404696898,2.160710688104004,1.0278547865414593,1.0026817754560975,1.0443271142123562
