ww,int8_fp16_b1,int8_fp16_b32,fp16_fp32_b1,fp16_fp32_b1
22WW51.1,1.1961603793293984,1.222388410428973,1.8239369627747215,2.501136090578834
23WW01.4,1.1870791532406728,1.2226779595533,1.838617860584396,2.4706064473243297
