ww,int8_b1,int8_b32,fp16_b1,fp16_b32,fp32_b1,fp32_b32
22WW51.1,1.0,1.0,1.0,1.0,1.0,1.0
23WW01.4,1.0013812145034038,1.0046530005309142,1.0113431744344346,1.0069803635317456,1.0063261245130146,1.0192070518047427
