prec_scale,int8_fp16_b1,int8_fp16_b16,int8_fp16_b32,fp16_fp32_b1,fp16_fp32_b16,fp16_fp32_b32
22WW51.1,1.1854799763075323,1.0905264478319372,1.222388410428973,2.01508967929558,2.127113845747696,2.5011360905788362
23WW01.4,1.1732666866316763,1.1244539182823312,1.2226779595532986,2.030442630445766,2.0747928340647683,2.4706064473243385
23WW03.4,1.1801348516502934,1.1194458741158664,1.2536928071204372,2.0393798425960106,2.0811016306727796,2.4145979953907277
23WW06.1,1.1633995618905162,1.2243068754041322,1.284110157268375,2.0882247135530116,2.208159090088597,2.500020579473229
