name,b1fps_int8_22WW51.1,b1fps_fp16_22WW51.1,b1fps_fp32_22WW51.1,b16fps_int8_22WW51.1,b16fps_fp16_22WW51.1,b16fps_fp32_22WW51.1,b32fps_int8_22WW51.1,b32fps_fp16_22WW51.1,b32fps_fp32_22WW51.1,b1fps_cldnn_int8_22WW51.1,b1fps_cldnn_fp16_22WW51.1,b1fps_cldnn_fp32_22WW51.1,b16fps_cldnn_int8_22WW51.1,b16fps_cldnn_fp16_22WW51.1,b16fps_cldnn_fp32_22WW51.1,b32fps_cldnn_int8_22WW51.1,b32fps_cldnn_fp16_22WW51.1,b32fps_cldnn_fp32_22WW51.1,b1fps_int8_23WW01.4,b1fps_fp16_23WW01.4,b1fps_fp32_23WW01.4,b16fps_int8_23WW01.4,b16fps_fp16_23WW01.4,b16fps_fp32_23WW01.4,b32fps_int8_23WW01.4,b32fps_fp16_23WW01.4,b32fps_fp32_23WW01.4,b1fps_cldnn_int8_23WW01.4,b1fps_cldnn_fp16_23WW01.4,b1fps_cldnn_fp32_23WW01.4,b16fps_cldnn_int8_23WW01.4,b16fps_cldnn_fp16_23WW01.4,b16fps_cldnn_fp32_23WW01.4,b32fps_cldnn_int8_23WW01.4,b32fps_cldnn_fp16_23WW01.4,b32fps_cldnn_fp32_23WW01.4,b1fps_int8_23WW03.4,b1fps_fp16_23WW03.4,b1fps_fp32_23WW03.4,b16fps_int8_23WW03.4,b16fps_fp16_23WW03.4,b16fps_fp32_23WW03.4,b32fps_int8_23WW03.4,b32fps_fp16_23WW03.4,b32fps_fp32_23WW03.4,b1fps_cldnn_int8_23WW03.4,b1fps_cldnn_fp16_23WW03.4,b1fps_cldnn_fp32_23WW03.4,b16fps_cldnn_int8_23WW03.4,b16fps_cldnn_fp16_23WW03.4,b16fps_cldnn_fp32_23WW03.4,b32fps_cldnn_int8_23WW03.4,b32fps_cldnn_fp16_23WW03.4,b32fps_cldnn_fp32_23WW03.4,b1fps_int8_23WW06.1,b1fps_fp16_23WW06.1,b1fps_fp32_23WW06.1,b16fps_int8_23WW06.1,b16fps_fp16_23WW06.1,b16fps_fp32_23WW06.1,b32fps_int8_23WW06.1,b32fps_fp16_23WW06.1,b32fps_fp32_23WW06.1,b1fps_cldnn_int8_23WW06.1,b1fps_cldnn_fp16_23WW06.1,b1fps_cldnn_fp32_23WW06.1,b16fps_cldnn_int8_23WW06.1,b16fps_cldnn_fp16_23WW06.1,b16fps_cldnn_fp32_23WW06.1,b32fps_cldnn_int8_23WW06.1,b32fps_cldnn_fp16_23WW06.1,b32fps_cldnn_fp32_23WW06.1
cgan_mnist,,3365.02,,,,,,-1.0,,,3411.86,,,,,,-1.0,,,3354.07,,,,,,-1.0,,,3411.86,,,,,,-1.0,,,3369.75,,,,,,-1.0,,,3411.86,,,,,,-1.0,,,3059.03,,,,,,-1.0,,,3411.86,,,,,,-1.0,
colorization-siggraph,482.56,285.38,,,,,850.29,452.29,,197.74,112.62,,,,,229.77,32.4,,491.27,287.92,,,,,847.11,450.88,,197.74,112.62,,,,,229.77,32.4,,518.73,296.8,,,,,849.66,427.73,,197.74,112.62,,,,,229.77,32.4,,517.86,297.49,,,,,841.79,426.78,,197.74,112.62,,,,,229.77,32.4,
common-sign-language-0002,661.47,681.59,,,,,910.22,885.79,,419.02,314.63,,,,,585.45,238.04,,657.03,682.72,,,,,909.86,895.79,,419.02,314.63,,,,,585.45,238.04,,641.61,668.29,,,,,899.93,895.24,,419.02,314.63,,,,,585.45,238.04,,658.57,672.46,,,,,996.2,902.69,,419.02,314.63,,,,,585.45,238.04,
cpm-pose,,152.89,61.85,,,,,487.43,66.17,,114.36,61.45,,,,,46.19,68.47,,153.74,62.28,,,,,478.2,72.91,,114.36,61.45,,,,,46.19,68.47,,150.15,66.05,,,,,489.29,73.07,,114.36,61.45,,,,,46.19,68.47,,151.11,65.37,,,,,494.93,72.89,,114.36,61.45,,,,,46.19,68.47
crnn-tf,,200.26,,,,,,3261.97,,,162.39,,,,,,2206.02,,,195.83,,,,,,3171.13,,,162.39,,,,,,2206.02,,,195.45,,,,,,2823.5,,,162.39,,,,,,2206.02,,,194.31,,,,,,2873.88,,,162.39,,,,,,2206.02,
ctpn,105.95,82.08,34.95,179.74,143.88,36.35,199.39,159.31,-1.0,85.78,48.95,34.04,109.28,72.57,35.79,109.51,68.42,-1.0,106.13,82.6,35.06,182.44,142.26,37.3,243.1,159.03,-1.0,85.78,48.95,34.04,109.28,72.57,35.79,109.51,68.42,-1.0,99.05,83.37,34.18,173.68,143.47,37.83,207.99,157.42,-1.0,85.78,48.95,34.04,109.28,72.57,35.79,109.51,68.42,-1.0,102.72,83.44,34.3,174.44,150.1,38.12,241.78,157.84,-1.0,85.78,48.95,34.04,109.28,72.57,35.79,109.51,68.42,-1.0
deeplabv3-mobilenetv3,256.26,233.78,156.79,,,,338.46,314.12,179.26,226.94,198.04,148.84,,,,251.1,133.98,178.42,255.97,232.8,156.64,,,,338.0,311.78,179.9,226.94,198.04,148.84,,,,251.1,133.98,178.42,256.74,231.86,156.36,,,,338.95,310.27,179.75,226.94,198.04,148.84,,,,251.1,133.98,178.42,261.2,232.36,156.56,,,,349.2,318.03,179.58,226.94,198.04,148.84,,,,251.1,133.98,178.42
deeplabv3-onnx,,216.09,,,,,,484.39,,,129.28,,,,,,68.29,,,227.55,,,,,,486.61,,,129.28,,,,,,68.29,,,224.03,,,,,,481.77,,,129.28,,,,,,68.29,,,224.26,,,,,,480.87,,,129.28,,,,,,68.29,
denoise,294.67,298.11,,,,,403.11,437.69,,250.18,194.71,,,,,213.73,-1.0,,290.64,299.22,,,,,400.31,436.13,,250.18,194.71,,,,,213.73,-1.0,,282.63,297.42,,,,,413.2,440.64,,250.18,194.71,,,,,213.73,-1.0,,282.95,297.66,,,,,302.74,312.19,,250.18,194.71,,,,,213.73,-1.0,
densenet-161,380.9,290.75,132.6,,,,1641.46,867.44,482.07,413.61,180.49,123.72,,,,1567.05,405.03,473.36,395.73,304.92,134.32,,,,1643.71,869.99,491.43,413.61,180.49,123.72,,,,1567.05,405.03,473.36,397.74,308.8,139.89,,,,1647.71,863.57,491.19,413.61,180.49,123.72,,,,1567.05,405.03,473.36,404.37,308.77,138.2,,,,1779.86,950.37,483.78,413.61,180.49,123.72,,,,1567.05,405.03,473.36
densenet-169,623.24,509.1,189.65,,,,3489.15,1201.29,931.76,523.26,246.3,178.54,,,,2560.12,655.14,891.42,628.85,522.32,189.55,,,,3468.82,1197.8,944.94,523.26,246.3,178.54,,,,2560.12,655.14,891.42,643.9,521.7,189.79,,,,3425.62,1173.69,942.88,523.26,246.3,178.54,,,,2560.12,655.14,891.42,649.6,522.88,189.76,,,,3555.83,1438.32,930.26,523.26,246.3,178.54,,,,2560.12,655.14,891.42
dla-102,1126.65,808.74,248.35,,,,4526.51,2771.76,559.46,620.96,355.24,233.31,,,,2162.9,928.73,557.17,1119.14,832.15,248.38,,,,4545.08,2807.5,595.3,620.96,355.24,233.31,,,,2162.9,928.73,557.17,1122.62,829.51,248.8,,,,4543.2,2691.12,596.51,620.96,355.24,233.31,,,,2162.9,928.73,557.17,1120.93,832.41,248.61,,,,4542.63,2688.45,587.61,620.96,355.24,233.31,,,,2162.9,928.73,557.17
dla-46xc,2627.88,2307.27,,,,,4332.7,5485.82,,2367.36,1778.99,,,,,7794.66,2344.6,,2654.57,2350.59,,,,,4186.11,5437.83,,2367.36,1778.99,,,,,7794.66,2344.6,,2678.9,2430.59,,,,,4876.59,5479.27,,2367.36,1778.99,,,,,7794.66,2344.6,,2704.78,2435.25,,,,,5193.49,5442.6,,2367.36,1778.99,,,,,7794.66,2344.6,
dna_r9.4.1@v3,,4.48,2.89,,,,,-1.0,-1.0,,4.16,2.84,,,,,-1.0,-1.0,,4.49,2.9,,,,,-1.0,-1.0,,4.16,2.84,,,,,-1.0,-1.0,,4.47,2.9,,,,,-1.0,-1.0,,4.16,2.84,,,,,-1.0,-1.0,,4.17,2.52,,,,,-1.0,-1.0,,4.16,2.84,,,,,-1.0,-1.0
driver-action-recognition-adas-0002-decoder,1376.81,1721.54,847.74,,,,-1.0,-1.0,-1.0,1082.74,1602.3,1077.85,,,,-1.0,-1.0,-1.0,1426.52,1817.79,892.73,,,,-1.0,-1.0,-1.0,1082.74,1602.3,1077.85,,,,-1.0,-1.0,-1.0,1988.93,2459.99,827.48,,,,-1.0,-1.0,-1.0,1082.74,1602.3,1077.85,,,,-1.0,-1.0,-1.0,2185.36,2552.28,839.9,,,,-1.0,-1.0,-1.0,1082.74,1602.3,1077.85,,,,-1.0,-1.0,-1.0
east_resnet_v1_50,153.78,98.08,20.8,,,,-1.0,-1.0,-1.0,90.19,42.95,20.66,,,,-1.0,-1.0,-1.0,154.66,99.1,20.86,,,,-1.0,-1.0,-1.0,90.19,42.95,20.66,,,,-1.0,-1.0,-1.0,157.14,97.85,20.9,,,,-1.0,-1.0,-1.0,90.19,42.95,20.66,,,,-1.0,-1.0,-1.0,156.64,98.06,20.85,,,,-1.0,-1.0,-1.0,90.19,42.95,20.66,,,,-1.0,-1.0,-1.0
efficientnet-b0,1289.58,1386.45,748.85,4184.62,4507.4,2606.75,5031.77,4722.61,2876.15,1180.93,816.93,605.68,3448.67,3261.95,2411.81,3853.12,4035.4,2776.83,1236.87,1446.37,751.51,4385.49,4552.26,2589.83,5186.93,4853.0,2871.72,1180.93,816.93,605.68,3448.67,3261.95,2411.81,3853.12,4035.4,2776.83,1308.7,1475.35,749.48,3977.87,4471.22,2596.95,5384.58,4598.73,2952.64,1180.93,816.93,605.68,3448.67,3261.95,2411.81,3853.12,4035.4,2776.83,1349.68,1454.02,751.05,6360.58,5198.11,2677.69,7418.24,4810.5,2932.91,1180.93,816.93,605.68,3448.67,3261.95,2411.81,3853.12,4035.4,2776.83
efficientnet-b7_auto_aug,89.69,98.3,35.08,110.51,124.84,53.38,134.17,132.66,-1.0,78.32,51.04,33.19,69.68,-1.0,52.48,75.93,-1.0,-1.0,88.88,98.56,35.08,110.24,125.17,53.13,135.24,133.19,-1.0,78.32,51.04,33.19,69.68,-1.0,52.48,75.93,-1.0,-1.0,90.29,96.22,35.06,110.74,120.37,53.24,136.45,131.39,-1.0,78.32,51.04,33.19,69.68,-1.0,52.48,75.93,-1.0,-1.0,127.04,96.35,35.44,175.55,135.1,52.81,199.33,141.64,-1.0,78.32,51.04,33.19,69.68,-1.0,52.48,75.93,-1.0,-1.0
f3net,727.5,502.05,200.74,,,,2323.62,1454.21,315.13,501.35,304.11,190.75,,,,1023.2,451.44,296.89,761.37,530.99,200.69,,,,2277.03,1458.22,328.33,501.35,304.11,190.75,,,,1023.2,451.44,296.89,765.26,530.62,200.37,,,,2246.76,1437.31,328.61,501.35,304.11,190.75,,,,1023.2,451.44,296.89,758.36,527.81,200.35,,,,2260.76,1338.01,326.76,501.35,304.11,190.75,,,,1023.2,451.44,296.89
