name,b1fps_int8_22WW51.1,b1fps_fp16_22WW51.1,b1fps_fp32_22WW51.1,b16fps_int8_22WW51.1,b16fps_fp16_22WW51.1,b16fps_fp32_22WW51.1,b32fps_int8_22WW51.1,b32fps_fp16_22WW51.1,b32fps_fp32_22WW51.1,b1fps_cldnn_int8_22WW51.1,b1fps_cldnn_fp16_22WW51.1,b1fps_cldnn_fp32_22WW51.1,b16fps_cldnn_int8_22WW51.1,b16fps_cldnn_fp16_22WW51.1,b16fps_cldnn_fp32_22WW51.1,b32fps_cldnn_int8_22WW51.1,b32fps_cldnn_fp16_22WW51.1,b32fps_cldnn_fp32_22WW51.1,b1fps_int8_23WW01.4,b1fps_fp16_23WW01.4,b1fps_fp32_23WW01.4,b16fps_int8_23WW01.4,b16fps_fp16_23WW01.4,b16fps_fp32_23WW01.4,b32fps_int8_23WW01.4,b32fps_fp16_23WW01.4,b32fps_fp32_23WW01.4,b1fps_cldnn_int8_23WW01.4,b1fps_cldnn_fp16_23WW01.4,b1fps_cldnn_fp32_23WW01.4,b16fps_cldnn_int8_23WW01.4,b16fps_cldnn_fp16_23WW01.4,b16fps_cldnn_fp32_23WW01.4,b32fps_cldnn_int8_23WW01.4,b32fps_cldnn_fp16_23WW01.4,b32fps_cldnn_fp32_23WW01.4,b1fps_int8_23WW03.4,b1fps_fp16_23WW03.4,b1fps_fp32_23WW03.4,b16fps_int8_23WW03.4,b16fps_fp16_23WW03.4,b16fps_fp32_23WW03.4,b32fps_int8_23WW03.4,b32fps_fp16_23WW03.4,b32fps_fp32_23WW03.4,b1fps_cldnn_int8_23WW03.4,b1fps_cldnn_fp16_23WW03.4,b1fps_cldnn_fp32_23WW03.4,b16fps_cldnn_int8_23WW03.4,b16fps_cldnn_fp16_23WW03.4,b16fps_cldnn_fp32_23WW03.4,b32fps_cldnn_int8_23WW03.4,b32fps_cldnn_fp16_23WW03.4,b32fps_cldnn_fp32_23WW03.4,b1fps_int8_23WW06.1,b1fps_fp16_23WW06.1,b1fps_fp32_23WW06.1,b16fps_int8_23WW06.1,b16fps_fp16_23WW06.1,b16fps_fp32_23WW06.1,b32fps_int8_23WW06.1,b32fps_fp16_23WW06.1,b32fps_fp32_23WW06.1,b1fps_cldnn_int8_23WW06.1,b1fps_cldnn_fp16_23WW06.1,b1fps_cldnn_fp32_23WW06.1,b16fps_cldnn_int8_23WW06.1,b16fps_cldnn_fp16_23WW06.1,b16fps_cldnn_fp32_23WW06.1,b32fps_cldnn_int8_23WW06.1,b32fps_cldnn_fp16_23WW06.1,b32fps_cldnn_fp32_23WW06.1
ssd-mobilenet-v1-coco,2013.03,1765.53,880.18,6385.08,4717.54,2210.76,7306.19,5075.54,2416.8,1187.0,1107.18,836.18,5306.87,2806.82,2172.35,6023.36,2861.94,2374.95,2075.59,1731.7,883.56,6409.35,4716.91,2205.83,7410.6,5066.68,2416.81,1187.0,1107.18,836.18,5306.87,2806.82,2172.35,6023.36,2861.94,2374.95,2018.03,1798.49,879.2,6511.22,4667.27,2153.65,7451.5,5024.89,2410.38,1187.0,1107.18,836.18,5306.87,2806.82,2172.35,6023.36,2861.94,2374.95,2253.36,1877.6,883.05,6927.35,4941.36,2174.91,7911.48,5234.77,2287.81,1187.0,1107.18,836.18,5306.87,2806.82,2172.35,6023.36,2861.94,2374.95
ssd512,122.9,118.22,,,,,168.53,151.0,,123.98,101.56,,,,,129.86,86.48,,119.52,120.3,,,,,168.88,150.62,,123.98,101.56,,,,,129.86,86.48,,116.36,117.33,,,,,169.75,148.75,,123.98,101.56,,,,,129.86,86.48,,121.23,127.37,,,,,171.94,152.22,,123.98,101.56,,,,,129.86,86.48,
ssd_mobilenet_v1_coco-tf,2034.2,,,6441.14,,,7298.87,,,865.66,,,5357.03,,,6460.47,,,2088.72,,,6652.84,,,7381.13,,,865.66,,,5357.03,,,6460.47,,,2036.13,,,6501.5,,,7463.46,,,865.66,,,5357.03,,,6460.47,,,2269.69,,,6984.89,,,7916.7,,,865.66,,,5357.03,,,6460.47,,
ssd_mobilenet_v1_fpn_coco,339.28,213.14,,,,,659.49,437.48,,147.64,99.49,,,,,301.63,121.24,,332.53,217.19,,,,,661.44,439.25,,147.64,99.49,,,,,301.63,121.24,,324.48,215.27,,,,,658.98,436.87,,147.64,99.49,,,,,301.63,121.24,,355.18,222.16,,,,,784.73,487.82,,147.64,99.49,,,,,301.63,121.24,
tdnn,,1981.53,,,,,,-1.0,,,1653.28,,,,,,-1.0,,,1998.05,,,,,,-1.0,,,1653.28,,,,,,-1.0,,,1879.28,,,,,,-1.0,,,1653.28,,,,,,-1.0,,,1920.56,,,,,,-1.0,,,1653.28,,,,,,-1.0,
ted_lstm_ld5,,1213.72,,,,,,-1.0,,,884.41,,,,,,-1.0,,,1284.91,,,,,,-1.0,,,884.41,,,,,,-1.0,,,1227.43,,,,,,-1.0,,,884.41,,,,,,-1.0,,,1090.27,,,,,,-1.0,,,884.41,,,,,,-1.0,
tedlium_dnn4_smbr,,3422.98,,,,,,30393.89,,,3397.7,,,,,,36108.47,,,3281.11,,,,,,30938.56,,,3397.7,,,,,,36108.47,,,3278.35,,,,,,84942.56,,,3397.7,,,,,,36108.47,,,4423.04,,,,,,84705.45,,,3397.7,,,,,,36108.47,
text-detection-0003,363.77,267.97,,,,,437.32,278.99,,237.64,136.71,,,,,339.38,-1.0,,372.25,267.81,,,,,437.6,299.9,,237.64,136.71,,,,,339.38,-1.0,,379.3,265.33,,,,,434.61,275.52,,237.64,136.71,,,,,339.38,-1.0,,345.17,266.64,,,,,434.74,276.5,,237.64,136.71,,,,,339.38,-1.0,
text-detection-0004,392.72,303.97,,,,,479.24,359.02,,301.01,199.37,,,,,466.81,-1.0,,400.39,304.81,,,,,480.22,357.73,,301.01,199.37,,,,,466.81,-1.0,,434.76,305.27,,,,,481.93,353.72,,301.01,199.37,,,,,466.81,-1.0,,384.37,303.76,,,,,494.21,355.02,,301.01,199.37,,,,,466.81,-1.0,
text-recognition-0012,87.79,86.56,,-1.0,798.21,,-1.0,1420.96,,78.74,73.6,,-1.0,682.98,,-1.0,992.2,,87.04,86.11,,-1.0,801.15,,-1.0,1433.81,,78.74,73.6,,-1.0,682.98,,-1.0,992.2,,87.07,86.7,,-1.0,815.95,,-1.0,1279.53,,78.74,73.6,,-1.0,682.98,,-1.0,992.2,,85.24,81.29,,-1.0,804.9,,-1.0,1273.4,,78.74,73.6,,-1.0,682.98,,-1.0,992.2,
text-spotting-0003-detector,,40.07,,,,,,-1.0,,,22.13,,,,,,-1.0,,,39.72,,,,,,-1.0,,,22.13,,,,,,-1.0,,,39.86,,,,,,-1.0,,,22.13,,,,,,-1.0,,,41.55,,,,,,-1.0,,,22.13,,,,,,-1.0,
text-to-speech-en-multi-0001-duration-prediction,233.84,211.34,,,,,-1.0,-1.0,,126.56,10.47,,,,,-1.0,-1.0,,233.65,212.77,,,,,-1.0,-1.0,,126.56,10.47,,,,,-1.0,-1.0,,262.96,236.66,,,,,-1.0,-1.0,,126.56,10.47,,,,,-1.0,-1.0,,281.71,251.15,,,,,-1.0,-1.0,,126.56,10.47,,,,,-1.0,-1.0,
unet-2d,503.83,455.35,402.9,,,,739.02,650.48,439.93,454.69,522.6,368.7,,,,746.51,603.71,437.44,505.63,459.68,399.36,,,,739.21,649.5,438.59,454.69,522.6,368.7,,,,746.51,603.71,437.44,517.83,498.44,398.17,,,,755.0,659.54,438.99,454.69,522.6,368.7,,,,746.51,603.71,437.44,518.13,496.49,387.04,,,,753.5,659.23,438.49,454.69,522.6,368.7,,,,746.51,603.71,437.44
unet3d_mlperf,0.22,0.21,,,,,-1.0,-1.0,,0.14,0.14,,,,,-1.0,-1.0,,0.22,0.25,,,,,-1.0,-1.0,,0.14,0.14,,,,,-1.0,-1.0,,0.22,0.2,,,,,-1.0,-1.0,,0.14,0.14,,,,,-1.0,-1.0,,0.23,0.18,,,,,-1.0,-1.0,,0.14,0.14,,,,,-1.0,-1.0,
vehicle-attributes-recognition-barrier-0042,3957.21,3510.16,,34038.37,32764.98,,64623.46,47205.85,,6129.65,1722.43,,33685.83,9350.8,,45860.9,20219.95,,3981.89,3450.57,,46752.89,33479.45,,68088.36,49324.01,,6129.65,1722.43,,33685.83,9350.8,,45860.9,20219.95,,4364.87,3743.18,,35677.5,33715.14,,66518.13,48294.58,,6129.65,1722.43,,33685.83,9350.8,,45860.9,20219.95,,3906.39,3510.78,,41611.17,37232.82,,66816.18,48957.54,,6129.65,1722.43,,33685.83,9350.8,,45860.9,20219.95,
vehicle-detection-adas-0002,1035.52,935.45,,2599.96,1832.35,,2751.62,2119.71,,1186.52,933.5,,2594.44,1654.34,,2235.63,1738.1,,1053.72,947.94,,2654.95,1867.82,,2258.08,2119.14,,1186.52,933.5,,2594.44,1654.34,,2235.63,1738.1,,1062.92,946.99,,2644.53,1847.49,,2592.72,2253.01,,1186.52,933.5,,2594.44,1654.34,,2235.63,1738.1,,1107.74,984.39,,2666.27,1872.67,,2831.71,2277.4,,1186.52,933.5,,2594.44,1654.34,,2235.63,1738.1,
vehicle-reid-0001,634.9,655.84,,,,,1799.59,2014.77,,622.84,657.37,,,,,1542.35,1418.01,,646.77,727.16,,,,,1824.92,2024.46,,622.84,657.37,,,,,1542.35,1418.01,,648.2,764.38,,,,,1852.39,2006.1,,622.84,657.37,,,,,1542.35,1418.01,,688.44,761.85,,,,,2107.3,2190.37,,622.84,657.37,,,,,1542.35,1418.01,
vgg16,1241.23,644.14,,,,,4440.17,2302.44,,879.57,529.34,,,,,1254.57,703.57,,1257.31,645.42,,,,,4558.27,2302.66,,879.57,529.34,,,,,1254.57,703.57,,1278.07,644.82,,,,,4884.73,2511.55,,879.57,529.34,,,,,1254.57,703.57,,1172.03,559.81,,,,,5147.4,2455.52,,879.57,529.34,,,,,1254.57,703.57,
vggvox,,979.36,,,1986.56,,,2419.78,,,364.74,,,513.52,,,473.81,,,971.48,,,1992.12,,,2422.01,,,364.74,,,513.52,,,473.81,,,963.48,,,1995.09,,,2340.06,,,364.74,,,513.52,,,473.81,,,979.38,,,1998.26,,,2330.2,,,364.74,,,513.52,,,473.81,
videosr-tlv2-cg,120.94,110.0,,120.8,165.85,,184.41,184.66,,140.33,89.22,,152.51,-1.0,,-1.0,-1.0,,120.18,111.27,,120.75,166.13,,184.18,185.81,,140.33,89.22,,152.51,-1.0,,-1.0,-1.0,,125.55,111.1,,141.13,168.97,,198.58,184.38,,140.33,89.22,,152.51,-1.0,,-1.0,-1.0,,123.97,110.88,,141.12,169.6,,198.6,185.01,,140.33,89.22,,152.51,-1.0,,-1.0,-1.0,
videosr-tlv2-std,143.65,109.38,,,,,254.27,184.41,,153.48,90.66,,,,,-1.0,-1.0,,145.45,110.96,,,,,253.66,184.9,,153.48,90.66,,,,,-1.0,-1.0,,146.38,110.6,,,,,255.38,181.4,,153.48,90.66,,,,,-1.0,-1.0,,145.66,110.79,,,,,253.26,183.02,,153.48,90.66,,,,,-1.0,-1.0,
wdsr,451.9,258.54,134.34,,,,841.48,583.62,131.14,334.97,226.08,131.12,,,,406.24,236.39,130.51,458.35,272.76,135.42,,,,833.96,584.28,131.95,334.97,226.08,131.12,,,,406.24,236.39,130.51,470.39,287.85,138.65,,,,829.77,506.04,134.61,334.97,226.08,131.12,,,,406.24,236.39,130.51,471.3,287.67,134.83,,,,829.39,507.91,130.69,334.97,226.08,131.12,,,,406.24,236.39,130.51
wdsr-small-x4,450.97,258.83,124.18,,,,834.53,584.46,129.14,321.12,211.91,124.35,,,,374.69,217.94,130.43,458.67,272.7,120.46,,,,833.1,583.21,126.94,321.12,211.91,124.35,,,,374.69,217.94,130.43,472.07,287.56,123.41,,,,824.38,500.66,126.9,321.12,211.91,124.35,,,,374.69,217.94,130.43,468.95,288.0,119.91,,,,831.95,503.85,124.8,321.12,211.91,124.35,,,,374.69,217.94,130.43
weld-porosity-detection-0001,3844.37,2741.31,,,,,19111.14,12943.94,,3275.11,1329.03,,,,,8091.29,4755.67,,3896.81,2629.41,,,,,19217.41,13229.95,,3275.11,1329.03,,,,,8091.29,4755.67,,3995.85,2867.78,,,,,19122.43,12039.63,,3275.11,1329.03,,,,,8091.29,4755.67,,3631.25,2888.67,,,,,19217.09,12877.9,,3275.11,1329.03,,,,,8091.29,4755.67,
yolact-darknet53-fpn-pytorch,177.02,147.32,,,,,326.74,262.98,,143.51,91.31,,,,,165.66,95.04,,179.87,148.08,,,,,326.19,263.05,,143.51,91.31,,,,,165.66,95.04,,173.61,145.77,,,,,327.43,258.93,,143.51,91.31,,,,,165.66,95.04,,187.29,153.06,,,,,336.41,269.86,,143.51,91.31,,,,,165.66,95.04,
yolo-v2-ava-sparse-35-0001,932.59,517.61,,2870.68,1665.41,,3358.61,1914.01,,701.29,420.32,,1095.01,540.48,,975.47,562.91,,955.84,516.07,,2880.93,1742.38,,3378.17,1933.32,,701.29,420.32,,1095.01,540.48,,975.47,562.91,,972.27,500.81,,2876.1,1725.38,,3375.09,1914.13,,701.29,420.32,,1095.01,540.48,,975.47,562.91,,973.07,514.34,,2874.53,1726.34,,3391.01,1926.96,,701.29,420.32,,1095.01,540.48,,975.47,562.91,
yolo-v2-noregion,,500.67,,,,,,1881.67,,,406.4,,,,,,553.5,,,507.6,,,,,,1889.33,,,406.4,,,,,,553.5,,,493.09,,,,,,1869.6,,,406.4,,,,,,553.5,,,504.31,,,,,,1962.65,,,406.4,,,,,,553.5,
yolo-v2-tiny-ava-sparse-30-0001,2126.96,1500.2,,,,,5427.21,4404.88,,2013.58,725.22,,,,,2963.46,1447.89,,2048.77,1501.11,,,,,5433.79,4832.64,,2013.58,725.22,,,,,2963.46,1447.89,,2135.61,1500.79,,,,,5438.75,4382.64,,2013.58,725.22,,,,,2963.46,1447.89,,2128.39,1513.42,,,,,5447.16,4654.38,,2013.58,725.22,,,,,2963.46,1447.89,
yolo-v3,,298.26,,,,,,729.5,,,197.15,,,,,,239.26,,,295.42,,,,,,749.39,,,197.15,,,,,,239.26,,,294.44,,,,,,735.33,,,197.15,,,,,,239.26,,,284.44,,,,,,736.92,,,197.15,,,,,,239.26,
yolo_v3_tiny,1861.68,1587.28,1013.9,,,,2615.88,3041.62,1139.05,1833.5,1354.76,925.13,,,,2489.06,1602.7,1119.15,1857.91,1586.93,1004.02,,,,2525.45,2940.73,1123.27,1833.5,1354.76,925.13,,,,2489.06,1602.7,1119.15,1905.99,1590.0,1014.62,,,,2922.75,2969.96,1162.45,1833.5,1354.76,925.13,,,,2489.06,1602.7,1119.15,1912.7,1584.85,1014.73,,,,3255.75,3049.12,1142.25,1833.5,1354.76,925.13,,,,2489.06,1602.7,1119.15
yolo_v4,163.85,145.29,54.94,,,,419.69,313.54,-1.0,148.4,92.18,50.96,,,,196.93,-1.0,-1.0,164.32,149.94,54.49,,,,419.95,312.5,-1.0,148.4,92.18,50.96,,,,196.93,-1.0,-1.0,156.76,146.67,57.5,,,,404.57,312.11,-1.0,148.4,92.18,50.96,,,,196.93,-1.0,-1.0,157.1,148.18,57.29,,,,404.17,307.93,-1.0,148.4,92.18,50.96,,,,196.93,-1.0,-1.0
yolo_v4-int8-tf,163.91,,,374.49,,,421.71,,,155.61,,,210.59,,,218.78,,,163.56,,,374.27,,,419.67,,,155.61,,,210.59,,,218.78,,,156.59,,,358.36,,,404.3,,,155.61,,,210.59,,,218.78,,,156.82,,,358.0,,,405.34,,,155.61,,,210.59,,,218.78,,
