model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,27.597823,26.844006,26.214540,27.296206,28.550802,28.435057,30.257938,30.634579,31.766348,32.695054,32.589182,33.187550
bert_base,10.818941,18.170239,17.651839,19.149507,20.623029,21.147067,21.829903,22.958886,23.312061,23.370114,23.853710,24.319313
bert_large,3.454876,6.025493,6.195483,7.014371,7.424164,7.589022,7.803657,7.874115,7.985583,7.978400,8.014417,8.007444
