model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,26.133560,16.742115,1.496494,18.511667,18.506539,18.785312,17.263195,18.748256,19.008584,18.763164,18.915879,18.871266
bert_base,10.564579,14.664766,12.002263,11.935043,11.827525,12.176258,11.958384,12.369571,12.497557,12.548516,12.333699,12.536692
bert_large,3.366063,4.915244,1.469184,4.219894,4.285704,4.321991,4.327583,3.815348,4.378349,4.443127,4.487277,4.534476
