model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,26.641138,26.613795,25.173151,25.361901,26.456998,27.238685,27.606644,29.349594,29.096283,30.047108,31.061866,31.642582
bert_base,10.683984,18.147340,17.092529,17.249598,19.090174,20.016740,21.152970,21.596672,22.532496,22.866712,23.187352,23.266671
bert_large,3.405870,5.988404,6.047986,6.095278,6.918423,7.242795,7.425443,7.642034,7.731946,7.792865,7.833094,7.824837
