model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,29.179845,33.810531,33.956314,34.649796,35.874909,37.341433,38.607044,39.843774,41.039251,41.375183,41.275542,42.644136
bert_base,11.136715,19.790982,19.734091,21.383012,23.224298,23.859019,24.991514,25.360209,25.783831,26.344212,26.492794,26.671767
bert_large,3.525014,6.677765,7.224131,8.123568,8.519762,8.694949,8.922721,9.053637,9.080443,9.062532,9.088586,9.125986
