model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,301.262917,66.524425,62.314730,64.000795,63.858304,66.218584,67.283596,66.389980,66.962242,69.323085,68.778825,70.714036
bert_base,212.305725,87.420548,75.770110,79.365081,83.933411,86.098739,85.793112,86.586043,88.884232,88.740844,94.172472,99.600343
bert_large,87.424699,38.334073,28.520158,29.732664,31.039217,32.425398,34.126487,34.064645,36.391429,38.860715,38.359133,39.169070
