model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,29.928668,34.684170,31.704290,35.544121,38.153813,37.227717,39.524017,40.581373,41.399275,42.585589,41.847785,43.462116
bert_base,11.282525,20.052556,19.559321,21.439860,23.386943,24.519809,25.302635,25.728592,26.185852,26.523687,26.952065,27.493998
bert_large,3.547124,6.733207,7.258443,8.245399,8.544824,8.776581,9.009303,9.089582,9.205784,9.184399,9.150629,9.226956
