model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,256.498527,-1,30.154147,57.625144,59.972594,58.044559,63.285854,61.391055,60.150264,60.695750,63.811421,65.184060
bert_base,177.992242,71.413933,42.648292,63.945516,66.333153,66.051736,68.531845,67.426966,70.413741,72.976999,73.168676,73.698640
bert_large,75.115443,33.831038,19.076035,27.674436,28.416849,30.225357,31.214481,32.306967,32.353909,33.008548,34.270533,35.930348
