model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,344.702393,86.014403,88.647739,91.274056,89.643036,89.985496,92.802770,93.237770,92.513458,94.717880,92.933552,92.129207
bert_base,237.279816,121.903004,117.005738,119.671292,117.307212,127.144949,131.816641,128.303271,126.043879,128.214438,136.422774,131.307754
bert_large,93.503805,43.466775,39.527619,40.227848,41.154251,42.301304,41.782571,43.764979,44.573288,44.147012,46.726226,47.404590
