model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,29.067006,33.821227,34.413837,35.948868,35.750924,37.064987,39.046093,38.986046,39.827432,40.694446,41.294010,41.141006
bert_base,11.113086,19.797961,19.446844,21.263462,23.057146,23.959050,24.918421,25.408084,25.852209,26.064025,26.490586,26.844588
bert_large,3.524412,6.677796,7.184254,8.146198,8.519087,8.683848,8.926553,9.014597,9.079012,9.109756,9.080411,9.087887
