model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,26.438742,27.999728,26.515874,27.380085,28.777976,29.051401,31.365607,31.990950,32.584283,33.648691,34.063166,33.454850
bert_base,10.677225,18.383953,17.271656,18.832480,20.462019,21.061559,21.863311,22.727782,23.245538,23.128283,23.648554,24.012581
bert_large,3.401975,6.252125,6.032789,7.173258,7.583681,7.763080,8.142432,8.248691,8.360707,8.345228,8.369574,8.446513
