model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,289.232019,66.276572,61.811562,63.194372,64.854913,63.747730,65.839943,65.251913,66.536949,67.936267,67.876508,68.863235
bert_base,200.543016,86.036179,75.106124,75.174013,81.563981,81.713012,87.213030,85.903508,86.690186,89.759693,92.277051,96.351583
bert_large,85.844933,37.549610,28.408597,30.035910,30.471067,32.176046,33.444904,33.600397,35.955847,37.459527,38.465550,37.951182
