model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,26.063899,17.846874,4.375209,28.403378,28.523953,21.268401,29.761371,29.976536,29.930946,30.203332,22.851483,30.127686
bert_base,10.499185,14.091541,16.992833,17.538804,17.616862,17.712665,18.267770,17.787644,18.725324,18.552060,19.066762,19.354193
bert_large,3.337707,4.987679,3.375082,6.274817,6.300102,6.383663,6.554140,6.188493,6.790571,6.893463,6.986761,7.075499
