model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,26.532993,19.868368,7.187600,28.128610,28.852383,29.295148,29.293604,29.790357,30.113798,30.447730,30.331805,30.514656
bert_base,10.649101,15.285469,17.600392,18.359859,18.542844,19.013430,19.441559,19.719684,19.718381,20.026417,20.774257,20.820589
bert_large,3.405883,5.612072,3.723644,6.676834,7.017201,7.116840,7.350563,7.464238,7.464116,7.637382,7.712893,7.819583
