model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,251.739751,-1,34.017524,61.921364,62.287814,64.704382,64.656367,66.300359,66.713905,66.492557,67.372908,66.653748
bert_base,176.105848,70.924189,43.777374,63.410789,64.848660,67.581999,66.082004,70.976664,69.460946,72.128299,72.855064,73.874820
bert_large,74.581173,36.070785,20.747542,29.916629,31.106707,31.480132,32.578843,33.694770,33.778247,34.092968,34.860049,36.776575
