model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,622.512429,218.862710,162.669756,164.871604,164.425330,158.947375,161.743248,162.614525,167.743172,170.972352,163.645345,162.690892
bert_base,329.694246,199.135514,163.355418,157.624954,160.995511,160.991652,163.046670,170.876787,175.490836,174.317168,181.814735,176.034897
bert_large,99.922310,78.983801,60.540386,60.735481,63.659370,62.413998,64.279296,63.017439,65.016447,66.510547,66.671243,66.662684
