model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,229.570965,50.100636,14.160714,50.104605,50.285383,51.888652,51.310117,52.911488,52.237586,51.923459,53.163213,53.798118
bert_base,162.803807,65.079192,18.182220,63.464454,64.132927,65.228192,68.453421,70.407996,73.237482,72.582192,72.630686,75.579278
bert_large,67.771925,30.695648,10.862389,25.531109,26.464753,27.388165,27.737277,28.885584,29.959211,31.321510,31.513108,31.223110
