model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,26.615934,26.487188,25.011065,25.979231,27.259559,27.553188,28.671704,29.683878,30.263799,30.912422,31.021791,31.828598
bert_base,10.665468,18.114294,17.292940,18.782455,20.148232,21.182031,21.449316,22.349561,23.024105,22.707423,23.242560,23.442300
bert_large,3.407315,5.975037,5.988268,6.841242,7.211240,7.338580,7.580792,7.668493,7.782867,7.758753,7.783521,7.801593
