model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,268.103055,60.965105,58.729915,57.453382,58.935516,61.376116,59.521256,62.360463,63.619376,60.779807,62.280287,65.213997
bert_base,189.158842,78.726976,71.015120,72.125775,76.762321,79.274214,77.826519,80.191612,83.008992,78.088045,83.849076,88.899620
bert_large,81.114849,34.713698,26.676418,28.215454,28.413439,29.755881,31.228413,31.647893,33.550382,35.228546,35.448989,35.663893
