model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,26.603664,29.905407,28.890102,28.425965,30.253756,30.880744,32.699425,32.299969,34.141043,33.849966,34.795215,34.937067
bert_base,10.662295,18.346025,17.120771,18.804397,20.315265,21.536001,21.390265,22.615289,23.114003,23.599133,23.497992,23.861822
bert_large,3.400863,6.337162,6.363535,7.256108,7.700184,7.897228,8.107832,8.294332,8.339297,8.412363,8.408292,8.392748
