model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,288.536043,64.640446,61.735143,61.329213,62.564250,62.742369,65.848404,64.588791,64.153047,66.691860,66.338991,66.701387
bert_base,200.116483,84.327745,69.251484,76.207665,79.392735,84.601810,86.412251,86.228185,87.888617,88.814681,91.818213,93.330908
bert_large,85.839602,37.179363,28.008080,29.221648,30.228827,31.772372,33.366978,34.064842,36.010306,37.478443,37.838821,37.692200
