model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,623.865733,217.568258,161.536529,161.429755,167.311153,164.213383,158.324331,163.949613,154.236053,161.303928,161.887786,162.217714
bert_base,330.423085,198.317403,165.603671,160.199453,157.699135,159.026252,173.842230,171.245487,177.260459,170.270633,172.131256,175.635242
bert_large,99.775615,78.928768,61.409518,61.123255,62.325303,62.719335,64.799615,63.774779,66.034343,66.800806,67.385611,68.315107
