model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,602.905977,214.470742,144.726190,158.862450,162.087243,158.041627,155.142134,156.163302,160.857496,156.469858,159.600621,161.352501
bert_base,322.853674,195.317844,153.993875,158.350927,160.488560,157.965936,164.208396,166.730386,167.401494,170.567202,172.912813,172.719043
bert_large,98.315761,77.269827,60.073840,59.992410,62.006929,60.565979,61.805560,63.462311,63.610819,65.240969,65.850471,64.597762
