model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,29.997759,38.489061,44.408941,42.114534,46.230818,46.972920,47.479935,47.686936,48.383522,48.170075,48.846639,50.600446
bert_base,11.365551,20.920714,22.003413,23.970468,25.608846,26.518827,26.361312,27.019693,27.339869,27.173074,27.741472,28.050953
bert_large,3.561915,6.852843,7.839638,8.568747,8.911357,9.020605,9.158820,9.291059,9.335940,9.264907,9.378139,9.387538
