model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,588.967392,174.739361,138.122075,152.735015,148.122834,152.946629,152.999309,156.186619,152.090396,154.780363,155.353231,156.586707
bert_base,319.844170,174.264437,162.538732,160.502281,157.331867,161.072887,171.513126,171.467917,175.677667,178.191530,181.076982,178.270982
bert_large,96.472728,70.448275,61.579699,62.424367,61.449342,61.573026,62.235483,63.778819,66.498901,65.715176,66.309034,68.815818
