model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,29.821632,37.060451,41.988039,43.848413,43.482950,43.588304,44.840396,45.421597,44.398430,45.641483,47.314858,48.417286
bert_base,11.365144,20.503004,22.118874,23.720598,25.323263,25.918033,25.844905,26.438000,26.726898,27.061464,27.098306,27.301194
bert_large,3.559180,6.777827,7.743878,8.424571,8.675993,8.869772,9.032216,9.169481,9.167074,9.220080,9.250179,9.251122
