model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,29.870371,38.341706,44.314553,43.884084,44.805907,45.535569,45.332263,47.875800,48.779198,49.092190,50.131101,49.651519
bert_base,11.361531,20.924115,22.212309,24.009065,25.585497,26.243197,26.530297,26.843965,26.949515,27.416022,27.459243,28.156365
bert_large,3.562477,6.851978,7.674373,8.631883,8.895940,9.063868,9.201033,9.239932,9.270090,9.366240,9.361319,9.314390
