model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,230.391565,50.249800,14.182605,43.824561,47.501631,49.960511,50.404024,51.831441,52.267241,52.234591,52.931634,52.241869
bert_base,162.749713,65.230370,18.400697,50.701984,57.557266,63.598880,64.373377,63.694915,66.005342,66.703991,69.765931,72.200459
bert_large,67.677556,30.818127,10.923934,21.810971,24.829810,26.218096,27.007581,27.924865,28.305749,29.338883,30.586138,31.135850
