model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,301.386231,66.031835,61.642242,62.905546,64.480808,65.660121,66.202666,64.987453,67.365167,66.256622,67.555800,69.921548
bert_base,212.601260,86.482890,77.128971,78.392306,81.803001,87.385164,85.933269,89.358210,90.216721,91.249391,98.721080,95.739296
bert_large,87.460388,38.180951,28.840220,29.291298,30.781891,32.612060,34.130408,34.644998,36.322571,38.354668,39.056508,39.268212
