model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,29.159932,33.754194,33.223644,35.848658,36.759366,36.617177,38.789436,39.627812,39.498118,40.576303,41.541168,41.440158
bert_base,11.139446,19.722284,19.333608,21.314726,23.139432,24.082818,24.902912,25.404373,25.984776,25.941850,26.121593,26.902856
bert_large,3.529342,6.669151,7.178465,8.088901,8.505723,8.655005,8.893908,8.969633,9.067076,9.102894,9.102668,9.084906
