model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,29.151474,33.540580,34.671834,35.013021,36.797552,36.541701,36.842263,38.737529,40.061079,40.472221,41.388289,41.818851
bert_base,11.141540,19.754589,19.243968,21.001925,23.082731,23.896055,24.808528,25.264908,25.890701,25.779707,26.468047,27.064640
bert_large,3.524414,6.661716,7.089784,8.119419,8.466194,8.694986,8.868541,8.992397,9.041354,9.030777,9.115949,9.056981
