model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,323.656511,78.824492,78.890872,79.755527,79.529054,73.863863,82.748677,83.323648,81.805847,80.208078,81.871352,75.090493
bert_base,228.328751,117.096666,115.153237,117.333923,118.592533,124.839732,121.118699,123.051931,128.083507,128.040849,124.406720,130.024190
bert_large,90.120023,43.107270,37.511081,39.253787,38.476070,39.849716,40.625964,41.101698,41.516257,42.549549,42.558624,43.734566
