model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,28.282106,28.073529,27.946069,29.475962,29.349358,30.765591,32.009189,32.834791,33.645267,34.324878,34.348992,35.117365
bert_base,10.969076,18.941697,18.083553,20.046401,21.602264,22.507038,23.254257,24.426592,24.483227,25.001566,25.218071,25.193037
bert_large,3.485682,6.153537,6.416715,7.323437,7.694647,7.864446,8.111182,8.183721,8.222578,8.236990,8.240999,8.245244
