model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,664.740233,302.614560,214.821622,205.903826,210.329676,209.847415,203.492965,202.294405,204.945103,210.031557,209.654463,201.437460
bert_base,365.994590,242.203013,192.081159,201.763941,193.757643,207.837759,208.406257,211.288902,213.327311,220.779364,211.916807,215.256942
bert_large,103.560726,77.998561,68.187118,67.483829,68.380289,67.263424,68.632908,68.646026,68.407579,70.315806,72.836128,71.659034
