model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,289.507629,66.638382,63.322488,64.668867,64.270872,64.055112,67.124114,67.466614,67.799748,68.254477,69.456875,69.270200
bert_base,200.209177,86.047831,75.076831,75.952568,76.967072,82.685292,85.750674,87.051249,88.510441,89.754289,89.970175,95.227023
bert_large,85.769387,37.593824,28.610504,29.583870,30.281742,31.946103,33.830936,34.285697,35.075814,36.967711,37.232200,38.184363
