model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,29.092069,30.351451,30.289178,31.814677,32.624011,33.205668,34.365753,35.564871,36.069984,36.779793,36.946531,38.613066
bert_base,11.120509,19.733526,19.471251,21.379438,22.969514,23.756211,24.608973,25.002797,25.313999,25.831927,26.101302,26.846538
bert_large,3.527272,6.308526,6.724086,7.572861,7.961637,8.154180,8.303786,8.402557,8.427957,8.478552,8.429593,8.488532
