model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,248.000387,50.456423,14.661544,45.653011,50.604492,53.271133,53.780807,54.929004,53.471562,55.382485,54.976968,53.983540
bert_base,176.929977,64.770692,19.187746,52.337269,62.780754,64.851187,68.799685,67.391984,71.286951,71.986283,75.864332,78.596578
bert_large,74.571922,30.771961,11.410110,23.110245,27.101744,27.082851,29.102134,30.040817,30.737522,32.615953,33.104247,34.796630
