model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,626.079721,271.596199,188.518513,188.887979,181.159082,184.012866,193.825780,181.492585,184.872173,183.134884,182.855699,180.895024
bert_base,353.599053,237.435170,195.300138,194.503597,189.896759,193.959642,197.845544,198.162938,204.231797,212.339263,211.294501,203.146622
bert_large,101.150242,82.230453,68.700393,67.407758,69.346835,68.202035,67.531174,67.175730,67.021523,70.749232,69.529531,72.128374
