model name,static,dynamic,dynamic_0,dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7,dynamic_8,dynamic_9
bert_small,257.265263,-1,7.375086,59.656890,60.471177,60.725834,60.093020,61.101508,61.913271,63.066160,62.124914,63.046625
bert_base,178.215120,67.243113,48.090467,65.958914,66.189510,67.637538,67.071868,66.603104,66.151909,68.184091,68.670305,69.445381
bert_large,75.140665,23.107549,6.442083,28.119697,28.451910,29.052853,29.209129,29.409486,29.398796,29.480925,29.878712,29.973472
